Usuario,Fecha,Polaridad,Contenido
iescolar,2011-12-02T09:17:31,"[{'value': 'P', 'type': 'AGREEMENT'}, {'entity': 'Zapatero', 'value': 'P', 'type': 'AGREEMENT'}]",¿Me ayudáis a que #indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el último consejo de ministros http://t.co/Qao9uvsG
mariviromero,2011-12-02T09:30:33,"[{'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'Recio', 'value': 'N', 'type': 'AGREEMENT'}]",abcdesevilla.es: Recio no tiene «indicios potentes» para denunciar a los responsables de los ERE http://t.co/wlDSs1yQ
mariviromero,2011-12-02T09:31:28,"{'value': 'N', 'type': 'AGREEMENT'}","abcdesevilla.es: Cuatro altos cargos de Empleo, denunciados por retirar la prejubilación a extrabajadores http://t.co/LWHxzbuB"
sanchezcastejon,2011-12-02T09:31:40,"[{'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'PP', 'value': 'N', 'type': 'AGREEMENT'}]",La marcha atrás del PP en posponer devolución CCAA es un resbalón. Debería asumir fallo y no mentir diciendo que no conoce estado cuentas
ccifuentes,2011-12-02T10:32:51,"[{'value': 'N+', 'type': 'AGREEMENT'}, {'entity': 'Seguridad_Social', 'value': 'N+', 'type': 'AGREEMENT'}]",Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste #HerenciaPSOE
anabelenroy_tve,2011-12-02T10:44:38,"[{'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'A-6', 'value': 'N', 'type': 'AGREEMENT'}]",Accidente en BUS-VAO A-6 km. 12. Motorista de 30 años herido menos grave. @SAMUR_PC traslada a Hospital Doce de Octubre vía @EmergenciasMad
jesusmarana,2011-12-02T11:06:35,"[{'value': 'P', 'type': 'AGREEMENT'}, {'entity': 'Niall_Binns', 'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'Nicanor_Parra', 'value': 'P+', 'type': 'AGREEMENT'}]","""La verdadera seriedad es cómica"". Niall Binns retrata a Nicanor Parra, premio Cervantes. http://t.co/AxYtQ1by"
ristomejide,2011-12-02T11:08:51,"{'value': 'N', 'type': 'AGREEMENT'}","#FF a ti, que deseas desesperadamente hacerme #FF, pero no lo haces por el qué dirán."
estherpalomera,2011-12-02T11:20:19,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': '@merpastor', 'value': 'P+', 'type': 'AGREEMENT'}, {'entity': '@GFVara', 'value': 'P+', 'type': 'AGREEMENT'}, {'entity': '@24horas_rne', 'value': 'P+', 'type': 'AGREEMENT'}, {'entity': '@CarmendelRiego', 'value': 'P+', 'type': 'AGREEMENT'}]","Mis #FF xa @merpastor x volver a sonreír, a @GFVara x ser tan autentico, a @24horas_rne x su subidòn y a @CarmendelRiego x su victoria"
zoidoalcalde,2011-12-02T11:36:41,"{'value': 'P', 'type': 'AGREEMENT'}",Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar #sevillahoy
RV1805,2011-12-02T11:52:50,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': '@RdscubreNavidad', 'value': 'P+', 'type': 'AGREEMENT'}]",#FF a @RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!
Cepeda,2011-12-02T11:59:18,"{'value': 'NONE', 'type': 'AGREEMENT'}","""Hasta ahora, los filósofos han tratado de comprender el mundo; de lo que se trata, sin embargo, es de cambiarlo"""
javiersolana,2011-12-02T12:10:48,"{'value': 'NONE', 'type': 'AGREEMENT'}","Open Master Class@javiersolana &Pedro Alonso on ""Global Health Challenges&Global Governance""@esadegeo@ISGLOBALorg http://t.co/UzhGWbiB… ."
javiersolana,2011-12-02T12:45:09,"{'value': 'P', 'type': 'AGREEMENT'}",3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.
mdcospedal,2011-12-02T13:01:33,"{'value': 'N', 'type': 'AGREEMENT'}",Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.
DavilaGaceta,2011-12-02T13:01:38,"[{'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'ETA', 'value': 'N', 'type': 'AGREEMENT'}]",Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos años denunciándolo. http://t.co/gsDGB8NV
julia_otero,2011-12-02T13:23:09,"{'value': 'N', 'type': 'AGREEMENT'}",No se ha aprobado la ley Sinde
lazaroelmundo,2011-12-02T13:23:21,"[{'value': 'NEU', 'type': 'DISAGREEMENT'}, {'entity': 'PV', 'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'La_Rioja', 'value': 'N+', 'type': 'AGREEMENT'}]",se puede entender que la misma solidaridad que pide el PV en sanidad la tenga el PV en cuanto a fiscalidad. La Rioja pierde siempre.
aarbeloa17,2011-12-02T13:24:25,"[{'value': 'P', 'type': 'AGREEMENT'}, {'entity': 'La_Armada', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': 'Copa_Davis', 'value': 'P', 'type': 'AGREEMENT'}]","¡¡Mucho ánimo hoy para ""La Armada""!! ¡¡Espero que podáis brindarnos la quinta Copa Davis!! ¡¡¡MUCHA SUERTE!!! http://t.co/WHsk2vv6"
Juandecolmenero,2011-12-02T13:24:26,"[{'value': 'N+', 'type': 'AGREEMENT'}, {'entity': 'PSE', 'value': 'N+', 'type': 'AGREEMENT'}, {'entity': 'Jesús_Eguiguren', 'value': 'N+', 'type': 'AGREEMENT'}]","Blanco, ministro portavoz en funciones, desacredita de forma rotunda al pte del PSE, Jesús Eguiguren:""no sabe de lo que habla, no es cierto"""
EsperanzAguirre,2011-12-02T13:36:20,"[{'value': 'N', 'type': 'DISAGREEMENT'}, {'entity': 'España', 'value': 'N+', 'type': 'AGREEMENT'}, {'entity': 'Madrid', 'value': 'P', 'type': 'AGREEMENT'}]",Desgraciadamente el paro en España sigue creciendo. Madrid va mejorando con 8.000 cotizantes más y 4.000 desempleados menos.
patxilopez,2011-12-02T14:03:32,"{'value': 'NONE', 'type': 'AGREEMENT'}",En el blog: Defender la solidaridad http://t.co/8sDDYC8j
mariviromero,2011-12-02T14:17:10,"[{'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@Pepemaras', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@PopularesCyL', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@anamariavielba', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@marmarev', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@ajimnezvelayos', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@jmoreta23', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@dllanosg', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@c_floriano', 'value': 'P', 'type': 'AGREEMENT'}]",#FF de vuelta ;-)) @Pepemaras @PopularesCyL @anamariavielba @marmarev @ajimnezvelayos @jmoreta23 @dllanosg @c_floriano
marodriguezb,2011-12-02T14:19:39,"{'value': 'N', 'type': 'DISAGREEMENT'}","Qué graciosos los ""laicos"" socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!"
JuanMoscosodelP,2011-12-02T14:20:39,"{'value': 'NONE', 'type': 'AGREEMENT'}",Ya he presentado la credencial de diputado en el Congreso en plena jornada de puertas abiertas. #PSNPSOE
GLlamazares,2011-12-02T14:39:10,"[{'value': 'NEU', 'type': 'DISAGREEMENT'}, {'entity': 'IU', 'value': 'NEU', 'type': 'DISAGREEMENT'}]","El protocolo de IU supone aportar parte del salario, pero no renunciar al seguro de vida, accidente y a la prestación social complementaria"
mariviromero,2011-12-02T14:58:25,"{'value': 'NONE', 'type': 'AGREEMENT'}",El post de hoy en mi blog http://t.co/nzhcgrxn
mariviromero,2011-12-02T15:10:47,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': '@TuDNIe', 'value': 'P+', 'type': 'AGREEMENT'}]",Me encanta ver por aqui  a @TuDNIe ;-))
juanes,2011-12-02T15:19:48,"[{'value': 'P', 'type': 'AGREEMENT'}, {'entity': 'Valencia', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': 'España', 'value': 'P', 'type': 'AGREEMENT'}]",si están por Valencia España les recomiendo esta exposición !! http://t.co/hkjRpj9b
mariviromero,2011-12-02T15:25:31,"{'value': 'NONE', 'type': 'AGREEMENT'}",La gran noche de los abanderados 2.0 - La Opinión de Málaga http://t.co/yYu7uXtH
maria_rey,2011-12-02T16:20:37,"[{'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@maria_rey', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@martacerame', 'value': 'P', 'type': 'AGREEMENT'}]",“@martacerame: @maria_rey Amigaaaaa!!!!!” holaaaa guapaaaa!
garcia_abadillo,2011-12-02T17:13:20,"[{'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'Ciudad_de_las_Artes_y_Ciencias', 'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'Valencia', 'value': 'N', 'type': 'AGREEMENT'}]",El juez imputa a dos directivos de la Ciudad de las Artes y Ciencias de Valencia por el caso Urdangarín. Parece que todos lo están menos él
davidbisbal,2011-12-02T18:38:41,"{'value': 'NONE', 'type': 'AGREEMENT'}","firma de discos, martes, 6 de diciembre en el Cine Callao a las 18 horas http://t.co/elJGColA"
mariviromero,2011-12-02T18:43:09,"[{'value': 'P', 'type': 'AGREEMENT'}, {'entity': 'EE_UU', 'value': 'P', 'type': 'AGREEMENT'}]",El desempleo en EE UU baja a los niveles de marzo de 2009 http://t.co/2RKKqQFG
mariviromero,2011-12-02T18:45:17,"{'value': 'NONE', 'type': 'AGREEMENT'}",Seguimos (@ Unidad de Cuidados Paliativos Hospital Civil) [pic]: http://t.co/7bqEqfY1
riverakiko,2011-12-02T19:28:07,"{'value': 'NONE', 'type': 'AGREEMENT'}",Ya salio el sorteo de la eurocopa 2012: españa italia croacia e irlanda. A por ellos!!!!!
LosadaPescador,2011-12-02T19:49:53,"[{'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'Granado', 'value': 'N', 'type': 'AGREEMENT'}]","Granado reconoce que da los datos de paro ""con objetividad"" por estar en interinidad. ¿Y antes? @TelediarioInter 20:30"
EvaORegan,2011-12-02T20:06:51,"[{'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'Irlanda', 'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'España', 'value': 'N', 'type': 'AGREEMENT'}]",Corazón partío: España e Irlanda se enfrentarán en la Eurocopa.
sanchezcastejon,2011-12-02T20:31:43,"[{'value': 'N+', 'type': 'AGREEMENT'}, {'entity': 'España', 'value': 'N+', 'type': 'AGREEMENT'}, {'entity': 'Chipre', 'value': 'N+', 'type': 'AGREEMENT'}, {'entity': 'Emiratos_Arabes', 'value': 'N+', 'type': 'AGREEMENT'}, {'entity': 'Qatar', 'value': 'N+', 'type': 'AGREEMENT'}]","Transparencia Internacional España ocupa n. 31 en ranking 182 pdetrás Detrás de Chipre, Emiratos Arabes, Qatar...urge ley transparencia ya"
AlejandroSanz,2011-12-02T20:34:12,"{'value': 'P', 'type': 'AGREEMENT'}",RT @FanClubMASes: Éstas Navidades regala solidaridad:#positivegeneration (cont) http://t.co/BksU1DZv
EvaORegan,2011-12-02T20:44:41,"[{'value': 'N', 'type': 'AGREEMENT'}, {'entity': '@LoidaLois', 'value': 'N', 'type': 'AGREEMENT'}, {'entity': '@EvaORegan', 'value': 'N', 'type': 'AGREEMENT'}]",¿Crisis de identidad? RT @LoidaLois @EvaORegan ¡¡¡Tú eres española por encima de todo!!!
AlejandroSanz,2011-12-02T20:47:51,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'Teleton', 'value': 'P+', 'type': 'AGREEMENT'}]",El Teleton hace un gran servicio social. Y voy a apoyarlo por supuesto. RT @karlagglez: (cont) http://t.co/Hs601N32
sanchezcastejon,2011-12-02T20:52:06,"[{'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'Cospedal', 'value': 'N', 'type': 'AGREEMENT'}]",Cospedal debería pedir perdón por mentir y utilizar de forma demagógica la rebaja sueldo funcionarios...la que ahora aplica sin pudor
pedroj_ramirez,2011-12-02T21:09:47,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'Mónica', 'value': 'P+', 'type': 'AGREEMENT'}]","Así me gusta, Mónica “@moniromaba: @pedroj_ramirez. A la orden jefe. Cualquiera te va a discutir. Ipad+orbyt+trabajo.”"
AlejandroSanz,2011-12-02T21:13:31,"{'value': 'NONE', 'type': 'AGREEMENT'}",Eso es amigos. RT @HombresSanzeros: @AlejandroSanz #NavidadSanzeraSolidaria Todos a comprar (cont) http://t.co/y4OUji31
GFVara,2011-12-02T21:17:08,"[{'value': 'P', 'type': 'AGREEMENT'}, {'entity': 'PP', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': 'IU', 'value': 'P', 'type': 'AGREEMENT'}]",Hace cinco meses el PP me comunicó por escrito que su interlocutor preferente era IU. Ello le permitió gobernar. Ahora pide consensos.
GFVara,2011-12-02T21:22:22,"[{'value': 'N+', 'type': 'AGREEMENT'}, {'entity': 'Monago', 'value': 'N+', 'type': 'AGREEMENT'}, {'entity': 'IU', 'value': 'N+', 'type': 'AGREEMENT'}]","Bienvenidos a la Brigada anti-Vara, pero esta región tiene un problema más. IU deja tirado a Monago 5 meses después de su nombramiento."
sanchezcastejon,2011-12-02T21:25:41,"{'value': 'N+', 'type': 'AGREEMENT'}",@GFVara la ley del embudo...característica de la derecha española. Animo
AlejandroSanz,2011-12-02T22:11:34,"{'value': 'P+', 'type': 'AGREEMENT'}","Eso no es cierto, nos llevamos de maravilla. RT @Deyra_love_BTR: @AlejandroSanz  ¬¬ POR QE!!! (cont) http://t.co/7DyF7Sus"
nachodoral,2011-12-02T22:25:50,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'España', 'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'Davis', 'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'Sevilla', 'value': 'P+', 'type': 'AGREEMENT'}]","España se pone a 1 punto de ganar su quinta Davis.Sevilla, d nuevo talismán.Mañana,22h @giraldatv.es http://t.co/Ns8tOZqR"
marodriguezb,2011-12-02T22:35:53,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'España', 'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'Copa_Davis', 'value': 'P+', 'type': 'AGREEMENT'}]",Bueno: España a un punto de ganar la 5ª Copa Davis. Felicidades al equipo!!!
RodolfoIrago,2011-12-02T23:47:02,"{'value': 'NONE', 'type': 'AGREEMENT'}","Durante la campańa, Cospedal decía lo que oía en casa, ahora ya hace lo que oye en casa. http://t.co/caqPmxJM"
Carlos_Latre,2011-12-02T23:50:25,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': '@flofdez', 'value': 'P+', 'type': 'AGREEMENT'}, {'entity': '@angyfdz', 'value': 'P+', 'type': 'AGREEMENT'}, {'entity': '@SSantiagosegura', 'value': 'P+', 'type': 'AGREEMENT'}]",@SSantiagosegura @angyfdz @flofdez BORRADO ESTÁ AMIGUETES!! UN ABRUZO!!;)
AlejandroSanz,2011-12-02T23:57:59,"{'value': 'P+', 'type': 'AGREEMENT'}","Para nadaaaa... Sabeis que no es asi. A veces no coincidimos, es todo. Os mando mucho cariño,RT (cont) http://t.co/NWQIgoK5"
carmenmorodo,2011-12-03T00:24:56,"{'value': 'N', 'type': 'AGREEMENT'}","Adiós al día en el q casi ha culminado el ""destape"" dl Estado de Bienestar? q nos va a quedar después d q se lo gastasen casi todo"
SSantiagosegura,2011-12-03T00:55:47,"{'value': 'NONE', 'type': 'AGREEMENT'}","Auan, apeich, agromenauer...Lucas Grijander y su progenitor... http://t.co/q957CpTB"
SSantiagosegura,2011-12-03T01:21:50,"{'value': 'P+', 'type': 'AGREEMENT'}","""La risa ilumina las almas que están bañadas de tristeza, la sonrisa es la tibia caricia para la helada soledad""W.H. Patrick"
Ignacos,2011-12-03T08:05:49,"[{'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'Irán', 'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'Occidente', 'value': 'N', 'type': 'AGREEMENT'}]",Detener la carrera nuclear de Irán debería ser una prioridad estratégica máxima para Occidente.
sevillajordi,2011-12-03T09:44:48,"[{'value': 'P', 'type': 'AGREEMENT'}, {'entity': 'Banco_Central_Europeo', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': 'FMI', 'value': 'NEU', 'type': 'AGREEMENT'}]","A ver si lo entiendo: como Banco Central Europeo no puede prestar a los Gobiernos, prestará al FMI para q este, q si puede,lo haga. Europa!"
Fgarea,2011-12-03T09:52:49,"{'value': 'N', 'type': 'AGREEMENT'}",Altos cargos recelan del exhaustivo traspaso de poderes. Aseguran que se ha convertido en fiscalización . http://t.co/zto5m1tw
sanchezcastejon,2011-12-03T10:20:42,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'Talking_heads', 'value': 'P+', 'type': 'AGREEMENT'}]","Buenos dias, que buenos eran/siguen siendo Talking Heads..."
Carlos_Latre,2011-12-03T11:02:21,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': '@SSantiagosegura', 'value': 'P+', 'type': 'AGREEMENT'}]",@SSantiagosegura jijijiji y el q se sibe a la mesa dl jurado es el verdadero Manolo Escobar!!;)))) haciendo d Lady Marmalade!!!;)) jojijii
mariviromero,2011-12-03T11:04:27,"{'value': 'NONE', 'type': 'AGREEMENT'}",#malaga Plaza de la Merced   @ Plaza de la Merced http://t.co/4xScGs1a
javiersolana,2011-12-03T11:25:03,"[{'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'Egipto', 'value': 'N', 'type': 'AGREEMENT'}]",Los resultados preliminares en Egipto auguran un profundo cambio con consecuencias regionales.Falta voto rural q atenuará algo resultados.
anabelenroy_tve,2011-12-03T12:22:13,"{'value': 'P+', 'type': 'AGREEMENT'}",Tranquilidad en las carreteras en el segundo día de Puente de la Constitución - http://t.co/NRk2uftQ
aarbeloa17,2011-12-03T12:31:00,"[{'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@aarbeloa17', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@IsabelaTortlini', 'value': 'P', 'type': 'AGREEMENT'}]",Gracias por la hospitalidad!!! ;-) RT @IsabelaTortlini Bienvenido DON @aarbeloa17 a mi humilde morada ;)
cucagamarra,2011-12-03T12:49:40,"{'value': 'P', 'type': 'AGREEMENT'}","En el Espolón, conmemorando el Día de la Discapacidad http://t.co/52olz4vl"
mariviromero,2011-12-03T12:56:23,"{'value': 'NONE', 'type': 'AGREEMENT'}",Así es el belén del Ayuntamiento http://t.co/S6Ocgz6i
mariviromero,2011-12-03T12:57:04,"{'value': 'N+', 'type': 'AGREEMENT'}",Los vándalos le arrancan de nuevo el lápiz a Picasso http://t.co/LfyNuArl
mariviromero,2011-12-03T13:01:12,"[{'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@DiputacionMLG', 'value': 'P', 'type': 'AGREEMENT'}]",Esto es apoyar de verdad: La @DiputacionMLG  reducirá impuestos a 96 pueblos http://t.co/VIGtaT1k
cesc4official,2011-12-03T13:04:29,"{'value': 'N', 'type': 'AGREEMENT'}",Un poco d agua fria despues dl entrenamiento esta mañana. Ahora a comer un poco d pasta y descanso total para esta noche q sera muy dificil!
Buenafuente,2011-12-03T13:08:21,"[{'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@DewarsSpain', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@jordievole', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@buenafuente', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@julia_otero', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@santi_millan', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': 'Jordi', 'value': 'P', 'type': 'AGREEMENT'}]",Que corra el Dewars!!!“@DewarsSpain: @jordievole @buenafuente @julia_otero @santi_millan gracias Jordi”
mariviromero,2011-12-03T13:09:36,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'Ong', 'value': 'P+', 'type': 'AGREEMENT'}]",Detenida la jefa de una prestigiosa ONG rusa de control electoral http://t.co/leWFa7BO
Buenafuente,2011-12-03T13:11:00,"[{'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'Buenafuente', 'value': 'N', 'type': 'AGREEMENT'}]",Porque no tenemos programa. Gracias @KimyTwitera: @Buenafuente buenafuente por q ya no dais tanta risa???¿¿¿¿???”
Amartinbeaumont,2011-12-03T13:15:54,"[{'value': 'N', 'type': 'AGREEMENT'}, {'entity': 'Sanz', 'value': 'N', 'type': 'AGREEMENT'}]","Mi artículo en ESD: ""La testarudez del consejero de Salud riojano pone a Sanz en la picota""  http://t.co/M9poedN7"
pedroj_ramirez,2011-12-03T13:18:56,"{'value': 'NONE', 'type': 'AGREEMENT'}","Noelia, Noelia, Noelia...“@njimenez79:  Me parezco a @pedroj_ramirez en el manejo del iPad. A ver si empiezo a parecerme en lectores!”"
ccifuentes,2011-12-03T13:29:42,"{'value': 'NONE', 'type': 'AGREEMENT'}","La vida no se mide por las veces que respiramos, sino por aquellos momentos que nos dejan sin aliento (vía @ifilosofia)"
mariviromero,2011-12-03T13:43:57,"[{'value': 'N+', 'type': 'AGREEMENT'}, {'entity': 'H.Civil', 'value': 'N+', 'type': 'AGREEMENT'}]","Sinceramente, estoy observando la zona de "" recreo"" psiquiátrica del H.Civil y es patético lo que veo http://t.co/vE8BhpJs"
alferma1,2011-12-03T14:26:32,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'Gabriel_Velázquez', 'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'Iceberg', 'value': 'P+', 'type': 'AGREEMENT'}]","Con Fina, mi mujer, amigos y el reparto de ""Iceberg"", nueva película de Gabriel Velázquez.Por Gabri no pasan los años. http://t.co/n2chJhTr"
mariviromero,2011-12-03T14:59:31,"{'value': 'N+', 'type': 'AGREEMENT'}",". @diario_sur así esta la zona de ""recreo"" psiquiátrica en el Hospital Civil . Patético . Son personas http://t.co/QDcW1amA"
GLlamazares,2011-12-03T15:03:35,"{'value': 'N+', 'type': 'AGREEMENT'}",Me reservo dónde y cómo deposito mis ahorros con mi familia. Sólo estoy obligado a la trasparencia pública aunque veo que hay mucho experto.
SSantiagosegura,2011-12-03T15:37:36,"{'value': 'NONE', 'type': 'AGREEMENT'}",Nada como unos rollitos de vez en cuando http://t.co/5HJJprCZ
javiersolana,2011-12-03T17:03:59,"{'value': 'N', 'type': 'AGREEMENT'}",Bien que lo siento si es así.La UEDila la bienvenida ayer.Esperemos que aun salga adelante.
Albert_Rivera,2011-12-03T17:24:32,"[{'value': 'NEU', 'type': 'DISAGREEMENT'}, {'entity': 'UPyD', 'value': 'P', 'type': 'AGREEMENT'}, {'entity': 'Cascos', 'value': 'P', 'type': 'AGREEMENT'}]",RT@FranHervias:UPyD pacta con Cascos para tener grupo.A pesar d que en 2008 decían que no era lícito este tipo d pactos http://t.co/fG5cVwM9
marodriguezb,2011-12-03T17:25:20,"{'value': 'NONE', 'type': 'AGREEMENT'}","Bueno, a ver qué hace el Madrid. Lo comentamos dentro de un rato con Edu en Radio Marca."
mariviromero,2011-12-03T17:50:40,"{'value': 'NONE', 'type': 'AGREEMENT'}","Señora  @mjmonteroc mire usted el estado de la zona de "" recreo"" de psiquiatría del Hospital Civil de #malaga http://t.co/UAAABf17"
Carlos_Latre,2011-12-03T17:58:24,"{'value': 'P+', 'type': 'AGREEMENT'}",GRACIAS AMIGOS!!! YA SOMOS 200.000!!!;)
