Target,AKA,description ,sector,"organisation size 1,5,10,25,100,300 ",revenue $USD million ,cost,ransom cost,data note,ransom paid,YEAR code,YEAR,month,location,interesting story (edited),interesting story (long),interesting story?,Ransomware,stock symbol,revenue as of,no of employees,Data Note,Source Name,URL,URL 2,URL 3,URL 4,URL 5,#ID
Sol Oriens,,US nuclear weapons contractor,tech,1,8,unknown,,,unknown,1,2021,JUN,USA,,,,REvil,,,,,,https://www.bleepingcomputer.com/news/security/revil-ransomware-hits-us-nuclear-weapons-contractor/,,,,,347
Edward Don,,American food service supplier,,10,850,unknown,,,unknown,1,2021,JUN,USA,,,,Qbot,,,,,,https://www.bleepingcomputer.com/news/security/foodservice-supplier-edward-don-hit-by-a-ransomware-attack/,,,,,346
Skinners' schools,,,academic,1,0,unknown,,,unknown,1,2021,JUN,UK,,,,unknown,,,,,,https://www.bbc.com/news/uk-england-kent-57404917,,,,,345
ADATA,,Taiwanese memory manufacturer,tech,10,274,unknown,,,unknown,1,2021,MAY,Taiwan,,,,Ragnar Locker,,,,,,https://www.bleepingcomputer.com/news/security/computer-memory-maker-adata-hit-by-ragnar-locker-ransomware/,,,,,344
LineStar,,,energy,10,171,unknown,,,unknown,1,2021,JUN,USA,,,,Xing Team,,,,,,https://www.wired.com/story/linestar-pipeline-ransomware-leak/?&web_view=true,,,,,343
iConstituent,,,tech,5,19,unknown,,,unknown,1,2021,JUN,USA,,,,unknown,,,,,,https://news.yahoo.com/congress-communications-hit-ransomware-attack-125843567.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cubGlua2VkaW4uY29tLw&guce_referrer_sig=AQAAAMdhF6LP2xujiWmgIQhISbae-BsJvoA2NSLaxTqmubozmkmCW0kzWjyCW3bE1iwyEHxeVlOQr-37v3divdRtmVd1w4_ihRGEvQ0BEUF6YO1Eww0zKZzuk3dxBpxVb9UiqdBBbkrynizwf7XSdoKuzrUMmSW2crMr0mjexdSSKAUu,,,,,342
St. Clair County,,,government,5,43,unknown,,,unknown,1,2021,JUN,USA,,,,unknown,,,,,,https://www.bnd.com/news/local/article251871213.html,,,,,341
UF Health,University of Florida Health,,academic,5,46,unknown,,,unknown,1,2021,MAY,USA,,,,unknown,,,,,,https://www.bleepingcomputer.com/news/security/uf-health-florida-hospitals-back-to-pen-and-paper-after-cyberattack/,,,,,340
Steamship Authority,,,transport,10,103,unknown,,,unknown,1,2021,JUN,USA,,,,unknown,,,,,,https://edition.cnn.com/2021/06/02/business/steamship-authority-ransomware-attack/index.html,,,,,339
ParkMobile,,American parking app,tech,5,20,unknown,,,unknown,1,2021,MAY,USA,,,,unknown,,,,,,https://www.bleepingcomputer.com/news/security/your-stolen-parkmobile-data-is-now-free-for-wannabe-scammers/,,,,,338
Sierra College,,,academic,10,148,unknown,,,unknown,1,2021,MAY,USA,,,,unknown,,,,,,https://www.abc10.com/article/news/education/sierra-college-systems-online-ransomware-attack/103-f0c177cf-9964-4ee4-9e49-ed91e67d2666,,,,,337
Betenbough,,American home building company,misc,10,127,unknown,,,unknown,1,2021,MAY,USA,,,,unknown,,,,,,https://www.kcbd.com/2021/05/20/betenbough-working-to-protect-clients-after-ransomware-attack/,,,,,336
Waikato Hospitals,,,healthcare,10,400,unknown,,,refused,1,2021,MAY,New Zealand,,,,unknown,,,,,,https://www.rnz.co.nz/news/national/442850/cyber-attack-at-waikato-hospitals-patients-anxiously-wait-for-updates,,,,,335
AXA ,,,finance,300,121000,unknown,,,unknown,1,2021,MAY,"Thailand, Malaysia, Honk Kong, Phillipines",,,,Avaddon,,,,,,https://www.bleepingcomputer.com/news/security/insurer-axa-hit-by-ransomware-after-dropping-support-for-ransom-payments/,,,,,334
Ireland HSE,Health Service Executive,,healthcare,25,23000,20,20,,refused,1,2021,MAY,Ireland,,,,Conti,,,,,,https://www.bleepingcomputer.com/news/security/irelands-health-services-hit-with-20-million-ransomware-demand/,,,,,333
Yamabiko,,Japanese machinery maker,tech,10,1000,unknown,,,unknown,1,2021,MAY,Japan,,,,Babuk ,,,,,,https://www.infosecurity-magazine.com/news/japanese-manufacturer-yamabiko?utm_source=twitterfeed&utm_medium=twitter,,,,,332
City of Tulsa,,,government,10,800,unknown,,,unknown,1,2021,MAY,USA,,,,unknown,,,,,,https://www.bleepingcomputer.com/news/security/city-of-tulsas-online-services-disrupted-in-ransomware-incident/,,,,,331
Volue Technology,,,tech,1,2,unknown,,,refused,1,2021,MAY,Norway,,,,Ryuk,,,,,,https://www.wsj.com/articles/energy-tech-firm-hit-in-ransomware-attack-11620764034,,,,,330
Scripps Health,,American nonprofit health care provider,healthcare,25,3000,106.8,106.8,cost,no,1,2021,MAY,USA,,,,unknown,,,,,,https://www.bleepingcomputer.com/news/security/health-care-giant-scripps-health-hit-by-ransomware-attack/,https://it.slashdot.org/story/21/08/17/2350213/healthcare-provider-expected-to-lose-1068-million-following-ransomware-attack?utm_source=rss1.0mainlinkanon&utm_medium=feed,,,,329
Swiss Cloud,,cloud hosting provider,tech,1,7,unknown,,,unknown,1,2021,APR,Switzerland,,,,unknown,,,,,,https://securereading.com/swiss-cloud-suffers-ransomware-attack/,,,,,328
Presque Isle PD,,,government,1,,unknown,,,unknown,1,2021,APR,Canada,,,,unknown,,,,,,https://bangordailynews.com/2021/04/29/news/aroostook/presque-isle-police-await-hackers-next-move-with-stolen-data-after-ransom-deadline-passes/,,,,,327
Whistler,,Canadian ski resort,,10,788,unknown,,,unknown,1,2021,APR,Canada,,,,unknown,,,,,,https://www.bleepingcomputer.com/news/security/whistler-resort-municipality-hit-by-new-ransomware-operation/,,,,,326
Aspire,,Scottish Social Care Organization,,1,,unknown,,,unknown,1,2021,APR,Scotland,,,,Conti,,,,,,https://www.scottishhousingnews.com/article/social-care-organisation-aspire-falls-victim-to-data-ransom-attack,,,,,325
Merseyrail,,,transport,10,391,unknown,,,unknown,1,2021,APR,UK,,,,Lockbit,,,,,,https://www.bleepingcomputer.com/news/security/uk-rail-network-merseyrail-likely-hit-by-lockbit-ransomware/,,,,,324
UnitingCare,,,healthcare,10,1000,unknown,,,unknown,1,2021,APR,Australia,,,,unknown,,,,,,https://itwire.com/security/healthcare-provider-unitingcare-queensland-hit-by-ransomware.html,,,,,323
VTA,Santa Clara Valley Transportation Authority,,transport,10,475,unknown,,,unknown,1,2021,APR,USA,,,,unknown,,,,,,https://www.siliconvalley.com/2021/04/22/cyberattack-targets-vta-unclear-if-personal-information-breached/,,,,,322
MPD,Metropolitan Police Department,,transport,10,545,unknown,,,unknown,1,2021,APR,USA,,,,Babuk Locker,,,,,,https://www.bleepingcomputer.com/news/security/dc-police-confirms-cyberattack-after-ransomware-gang-leaks-data/,,,,,321
Gyrodata,,American mining tech company,tech,10,1000,unknown,,,unknown,1,2021,APR,USA,,,,unknown,,,,,,https://portswigger.net/daily-swig/mining-technology-company-gyrodata-hit-by-ransomware-attack-employee-data-leaked,,,,,320
Hoya ,,leading Japanese med-tech company,"healthcare, tech",25,5000,unknown,,,unknown,1,2021,APR,Japan,,,,Astro,,,,,,https://www.thestar.com.my/tech/tech-news/2021/04/22/hackers-target-iconic-japans-toshiba-rival-hoya-with-ransomware,,,,,319
The Dixie Group,,leadings carpet maker,retail,10,374,unknown,,,unknown,1,2021,APR,USA,,,,unknown,,,,,,https://finance.yahoo.com/news/dixie-group-announces-ransomware-attack-175500039.html,,,,,318
NBU,National Security Authority of Slovakia,,government,5,20,unknown,,,unknown,1,2021,APR,Slovakia,,,,unknown,,,,,,https://www.euractiv.com/section/politics/short_news/state-institution-in-slovakia-target-of-ransomware-attacks/,,,,,317
University of Portsmouth,,,academic,10,340,unknown,,,unknown,1,2021,APR,UK,,,,unknown,,,,,,https://www.bbc.com/news/uk-england-hampshire-56805248,,,,,316
Owner Federal Group,,,gaming,10,326,unknown,,,refused,1,2021,APR,Australia,,,,unknown,,,,,,https://www.theguardian.com/australia-news/2021/apr/13/poker-machines-in-tasmania-shut-down-after-ransomware-attack,,,,,315
Bakker Logistiek,,one of Netherland's largest logistic services provider,logistics,10,580,unknown,,,refused,1,2021,APR,Netherlands,,,,unknown,,,,,,https://www.bleepingcomputer.com/news/security/dutch-supermarkets-run-out-of-cheese-after-ransomware-attack/,,,,,314
Durham,The Regional Municipality of Durham,,government,25,1180,unknown,,,unknown,1,2021,APR,Canada,,,,Clop,,,,,,https://www.itworldcanada.com/article/ontario-regional-government-victim-of-third-party-cyber-attack/445791,,,,,313
City of Lawrence,,,government,5,80,unknown,,,unknown,1,2021,APR,USA,,,,unknown,,,,,,https://www.boston25news.com/news/25-investigates/25-investigates-city-lawrence-hit-with-significant-ransomware-attack/GLIH7WZ4Q5GY5IFH4RANDP564M/,,,,,312
JBI,,,retail,5,60,unknown,,,unknown,1,2021,APR,USA,,,,unknown,,,,,,https://www.bicycleretailer.com/industry-news/2021/04/07/jbi-back-online-limited-capacity-after-ransomware-attack#.YOLzNugzZPY,,,,,311
Haverhill School,,,academic,10,106,unknown,,,unknown,1,2021,APR,USA,,,,unknown,,,,,,https://www.nbcboston.com/news/local/ransomware-attack-prompts-haverhill-public-schools-to-close/2349314/,,,,,310
NCI,National College of Ireland,,academic,10,400,unknown,,,unknown,1,2021,APR,Ireland,,,,unknown,,,,,,https://www.bleepingcomputer.com/news/security/ransomware-hits-tu-dublin-and-national-college-of-ireland/,,,,,309
Technological University,,,academic,5,40,unknown,,,unknown,1,2021,APR,Ireland,,,,unknown,,,,,,https://www.thejournal.ie/tu-dublin-ransomware-attack-5401763-Apr2021/,,,,,308
Home Hardware Stores,,one of Canada’s largest dealer-owned hardware retailers,retail,10,986,unknown,,,unknown,1,2021,APR,Canada,,,,DarkSide,,,,,,https://www.insurancebusinessmag.com/ca/news/cyber/canadian-hardware-store-chain-gets-slammed-by-ransomware-attack-251259.aspx,,,,,307
Applus,,global tech testing company,tech,10,1000,unknown,,,unknown,1,2021,MAR,USA,,,,unknown,,,,,,https://securityaffairs.co/wordpress/116338/malware/malware-attack-on-applus.html,,,,,306
Coral Glades High School,,,academic,1,1,40,40,,refused,1,2021,APR,USA,,,,Conti,,,,,,https://thecybersecurity.news/general-cyber-security-news/conti-ransomware-gang-hits-broward-county-schools-with-40m-demand-7793/,,,,,305
Boggi Milano,,luxury Italian clothing brand,retail,10,211,unknown,,,unknown,1,2021,MAR,Italy,,,,Ragnarok,,,,,,https://threatpost.com/ragnarok-ransomware-boggi-milano-menswear/165161/,,,,,304
MIDC,The Maharashtra Industrial Development Corporation,,government,1,2,unknown,,,refused,1,2021,MAR,India,,,,SYNack,,,,,,https://www.outlookindia.com/newsscroll/midcs-it-infra-faces-ransomware-attack/2056122,,,,,303
University of California,,,academic,10,807,unknown,,,unknown,1,2021,MAR,USA,,,,Clop,,,,,,https://www.zdnet.com/article/ransomware-group-targets-universities-of-maryland-california-in-new-data-leaks/,,,,,302
University of Maryland,,,academic,25,2200,unknown,,,unknown,1,2021,MAR,USA,,,,Clop,,,,,,https://www.zdnet.com/article/ransomware-group-targets-universities-of-maryland-california-in-new-data-leaks/,,,,,301
Nine Network,,Australia's top rated TV network,media,10,860,unknown,,,unknown,1,2021,MAR,Australia,,,,unknown,,,,,,https://www.infosecurity-magazine.com/news/aussie-tv-network-taken-off-air-by/,,,,,300
Sierra Wireless,,Canadian IoT maker,tech,10,616,unknown,,,unknown,1,2021,MAR,Canada,,,,unknown,,,,,,https://www.zdnet.com/article/ransomware-attack-halts-production-at-iot-maker-sierra-wireless/,,,,,299
CMAT,Cambridge Meridian Academies Trust,,academic,10,257,unknown,,,unknown,1,2021,MAR,UK,,,,unknown,,,,,,https://www.peterboroughtoday.co.uk/news/crime/peterborough-schools-and-college-hit-by-ransomware-attack-3172293,,,,,298
CSET,Castle School Education Trust,,academic,1,4,unknown,,,unknown,1,2021,MAR,UK,,,,unknown,,,,,,https://www.bristolpost.co.uk/news/bristol-news/bristol-schools-targeted-cyber-criminals-5200132,,,,,297
South & City College,,,academic,1,1,unknown,,,unknown,1,2021,MAR,UK,,,,unknown,,,,,,https://www.birminghammail.co.uk/news/midlands-news/students-told-stay-home-week-20150964,,,,,296
Buffalo Public Schools,,,academic,10,794,unknown,,,unknown,1,2021,MAR,USA,,,,unknown,,,,,,https://www.wbfo.org/education/2021-03-15/buffalo-public-schools-remain-closed-indefinitely-due-to-ransomware-attack,,,,,295
Molson Coors,,well-known American beverage company,food & beverage,25,10600,unknown,,,unknown,1,2021,MAR,USA,,,,unknown,,,,,,https://www.bleepingcomputer.com/news/security/molson-coors-brewing-operations-disrupted-by-cyberattack/,,,,,294
Oloron-Sainte-Marie,,French hospital,healthcare,10,106,0.05,0.05,,unknown,1,2021,MAR,France,,,,unknown,,,,,,https://securityaffairs.co/wordpress/115434/cyber-crime/french-hospital-ransomware-attack.html,,,,,293
Qualys,,American cybersecurity company,tech,10,363,unknown,,,unknown,1,2021,MAR,USA,,,,Clop,,,,,,https://www.forbes.com/sites/carlypage/2021/03/04/qualys-data-breach-ransomware-gang-leaks-customer-invoices-tax-documents/?sh=307b2f1031b6,,,,,292
SEPE,,Spanish government agency for labour,government,1,,unknown,,,unknown,1,2021,MAR,Spain,,,,Ryuk,,,,,,https://www.bleepingcomputer.com/news/security/ryuk-ransomware-hits-700-spanish-government-labor-agency-offices/,,,,,291
Standley Systems,,,tech,5,31,unknown,,,unknown,1,2021,FEB,USA,,,,REvil,,,,,,https://www.crn.com/news/security/revil-ransomware-attacks-msp-standley-systems-leaks-ssns,,,,,290
Flagstar,,US bank and mortgage lender,finance,25,2000,unknown,,,unknown,1,2021,JAN,USA,,,,Clop,,,,,,https://www.bleepingcomputer.com/news/security/flagstar-bank-hit-by-data-breach-exposing-customer-employee-data/,,,,,289
Cochise Eye & Laser,,,healthcare,1,4,unknown,,,unknown,1,2021,JAN,USA,,,,unknown,,,,data breached,,https://www.cochiseeye.com/,,,,,288
Prism HR,,leading HR company,logistics,5,63,unknown,,,unknown,1,2021,FEB,USA,,,,DarkSide,,,,"""no data was stolen""",,https://www.bleepingcomputer.com/news/security/payroll-giant-prismhr-outage-likely-caused-by-ransomware-attack/,,,,,287
Staring College,,Dutch college,academic,1,1,unknown,,,ransom paid,1,2021,FEB,Netherlands,,,,unknown,,,,,,https://nltimes.nl/2021/02/27/secondary-school-pays-ransom-hit-cyber-attack,,,,,286
STSC,Saginaw Township Community Schools,,academic,1,1,unknown,,,refused,1,2021,FEB,USA,,,,unknown,,,,,,https://www.infosecurity-magazine.com/news/fbi-investigating-michigan-school/,,,,,285
TietoEVRY,,major Finnish IT provider,tech,25,3300,unknown,,,unknown,1,2021,FEB,Finland,,,,unknown,,,,,,https://threatpost.com/finnish-it-giant-ransomware-cyberattack/164193/,,,,,284
UL,Underwriter Laboratories,global safety science company,,25,3000,unknown,,,refused,1,2021,FEB,USA,,,,unknown,,,,,,https://www.bleepingcomputer.com/news/security/underwriters-laboratories-ul-certification-giant-hit-by-ransomware/,,,,,283
Yuba County,,,government,10,180,unknown,,,refused,1,2021,FEB,USA,,,,unknown,,,,,,https://www.govtech.com/security/california-county-focuses-on-recovery-after-ransomware-attack.html,,,,,282
Jones Day Law Firm,,one of world's most successful firms,legal,10,982,unknown,,,refused,1,2021,FEB,USA,,,,Clop,,,,,,https://www.forbes.com/sites/leemathews/2021/02/18/hackers-leak-gigabytes-of-data-stolen-from-international-law-firm-jones-day/?sh=27d2c8a339eb,,,,,281
Discount,Discount Car and Truck Rentals,one of Canada's biggest vehicle rentals,logistics,10,217,unknown,,,unknown,1,2021,FEB,Canada,,,,DarkSide,,,,,,https://www.itworldcanada.com/article/canadian-vehicle-rental-service-hit-by-ransomware/442384,,,,,280
CPCC,Central Piedmont Community College,,academic,1,3,unknown,,,unknown,1,2021,FEB,USA,,,,unknown,,,,,,https://www.wbtv.com/2021/02/12/central-piedmont-community-college-experiences-ransomware-attack/,,,,,279
Dax-Côte d’Argent HC,Dax-Côte d’Argent,,healthcare,1,,unknown,,,unknown,1,2021,FEB,France,,,,Egregor,,,,,,https://www.archyde.com/dax-hospital-disrupted-by-a-major-computer-attack/?__cf_chl_jschl_tk__=467b0204e2205ca26ff102aaefd815e683e24d76-1625241647-0-AYj-bTQEQ_sis9Arhi1PnbGfjB4eTLaEdw4FN28kRaRjsjFRexTTHa_V4jSjpFA4yxnl5GIpkmnaCxR1wTEgrAj7T51JPFV8bC3O-yh9QJuT6pZdmIEoCwctj3ptzwqUUOxXIPGCt3rE9T0gxrIel9645vYt5kyjaD4wBfBH4nh5wtjaD6Ny9Y06XOStfrPKdQtLV-j_2YYn6JhvTFaks70NVWhzaMcXjMwdj81a2QNFJ_2OETsapX434ORYk_siSqeR5AWhphVqjyiBlgsp0qY-7IjgIpmqeHBFnw7DcWpoKRJMP6IFdizvURTZzN67od4uGoUqxsGAGj6KmWgLy6IUoMytEblAPIIVh_a4GUM9VPpPFuUcHrT9B13WRIj9lZMvburmsx3NrTkl_dMn5QoAjwpk-dSHL1kamNjuHciLGeIi9eltP74NYtnV7IXjeSwURUUEdggrc5vTB8ou8sJEgo-vJtbv28JfbUzQVU31K9MVP_fA2hQIObl3vreGSLfLH4Z1tnB5A8P5xIUZIiI,,,,,278
Ness DE,Ness Digital Engineering,,tech ,10,545,unknown,,,unknown,1,2021,FEB,Israel,,,,Ragnar Locker,,,,,,https://www.itsecuritynews.info/threat-actors-attacked-israeli-tech-giant-ness-digital-engineering-for-ransom/,,,,,277
ReMax Kelowna,,Canadian real estate agency,logistics,5,20,unknown,,,unknown,1,2021,FEB,Canada,,,,Conti,,,,,,https://www.insurancebusinessmag.com/ca/news/cyber/bc-real-estate-agency-sustains-unusual-ransomware-attack-246105.aspx,,,,,276
SN ,SN Servicing Corporation,,finance,10,100,unknown,,,unknown,1,2021,FEB,USA,,,,Egregor,,,,,,https://www.scmagazine.com/home/security-news/mortgage-loan-servicing-company-discloses-ransomware-attack-to-multiple-states/,,,,,275
Foxtons Group,,British estate agency company,logistics,10,140,unknown,,,unknown,1,2021,FEB,UK,,,,Egregor,,,,,,https://www.infosecurity-magazine.com/news/experts-foxtons-breach-egregor/,,,,,274
AFTS,Automatic Funds Transfer Services,,finance,5,11,unknown,,,unknown,1,2021,FEB,USA,,"AFTS is used by many cities and agencies in Washington and other US states as a payment processor and address verification service. As the data is used for billing and verifying customers and residents is wide and varied, this attack could have a massive and widespread impact.",y,Cuba ransomware,,,,,,https://www.bleepingcomputer.com/news/security/us-cities-disclose-data-breaches-after-vendors-ransomware-attack/,,,,,273
VCSD,Victor Central School District ,,academic,5,68,unknown,,,unknown,1,2021,FEB,USA,,,,unknown,,,,,,https://spectrumlocalnews.com/nys/rochester/education/2021/02/03/victor-csd-remaining-remote-wednesday-after-ransomware-attack,,,,,272
Serco,,British services business,logistics,25,3000,unknown,,,unknown,1,2021,JAN,UK,,,,unknown,,,,,,https://www.infosecurity-magazine.com/news/global-government-outsourcer-serco/,,,,,271
CRHS,Crisp Regional Health Services,,healthcare,5,40,unknown,,,unknown,1,2021,JAN,USA,,,,unknown,,,,,,https://www.beckershospitalreview.com/cybersecurity/ransomware-attack-temporarily-shuts-down-georgia-hospital-s-phone-lines-computer-systems.html,,,,,270
DSC Logistics,,,logistics,10,1000,unknown,,,unknown,1,2021,JAN,USA,,,,unknown,,,,,,https://www.freightwaves.com/news/ransomware-attack-targets-major-us-logistics-firm-dsc,,,,,269
TWU,Tennessee Wesleyan University,,academic,5,16,unknown,,,unknown,1,2021,JAN,USA,,,,unknown,,,,,,https://dailyonlinesecuritynews.com/twu-methods-recovering-after-friday-ransomware-assault-information/,,,,,268
Palfinger,,leading crane manufacturer,logistics,25,2000,unknown,,,unknown,1,2021,JAN,Austria,,,,unknown,,,,"cyber attack, it might have been a ransomware attack",,https://www.bleepingcomputer.com/news/security/leading-crane-maker-palfinger-hit-in-global-cyberattack/,,,,,267
WestRock,,one of the world’s largest paper and packaging companies,logistics,25,17000,unknown,,,unknown,1,2021,JAN,USA,,,,unknown,,,,,,https://threatpost.com/westrock-ransomware-attack/163717/,,,,,266
CHwapi,Center Hospitalier de Wallonie Picarde,,healthcare,10,261,unknown,,,unknown,1,2021,JAN,Belgium,,,,unknown,,,,no ransom demands made. no data stolen (atleast as of now),,https://www.technadu.com/hospital-in-belgium-forced-to-redirect-patients-due-to-cyberattack/242982/,,,,,265
City of Angers,,,government,1,,unknown,,,unknown,1,2021,JAN,France,,,,unknown,,,,,,https://cloudreports.net/angers-what-we-know-about-the-cyberattack-that-hits-the-town-hall-sites/,,,,,264
Wentworth,,one of England's most exclusive clubs,,5,19,unknown,,,unknown,1,2021,JAN,UK,,,,unknown,,,,,,https://grahamcluley.com/wentworth-golf-club-hacked/,,,,,263
Dassault Falcon Jet,,French aircraft manufacturer,tech,25,2000,unknown,,,unknown,1,2021,JAN,USA,,,,Ragnar Locker,,,,,,https://www.bleepingcomputer.com/news/security/dassault-falcon-jet-reports-data-breach-after-ransomware-attack/,,,,,262
AKVA,,aquaculture industry's tech supplier,tech,10,295,unknown,,,unknown,1,2021,JAN,Norway,,,,unknown,,,,,,fishfarmermagazine.com/news/akva-targeted-by-ransomware-hackers/,,,,,261
OmniTRAX,,rail operator and logistics provider,logistics,10,322,unknown,,,unknown,1,2021,JAN,USA,,,,Conti,,,,,,https://finance.yahoo.com/finance/news/ransomware-attack-hits-short-line-140331188.html?&web_view=true,,,,,260
Northern Territory Govt,,Australia,government,25,1200,unknown,,,refused,1,2021,JAN,Australia,,,,unknown,,,,,,https://www.abc.net.au/news/2021-01-11/ransomware-attack-nt-government-phishing-attempts/13036472,,,,,259
Hackney Council,,One of London's local council areas,government,10,192,unknown,,,unknown,1,2021,JAN,UK,,,,PYSA,,,,,,https://www.bbc.com/news/uk-england-london-55574580,,,,,258
Amey,,one of UK's largest infra services,misc,25,2000,unknown,,,unknown,1,2021,JAN,UK,,,,Mount Locker,,,,,,https://securityreport.com/amey-plc-suffers-cyber-attack-from-ransomware/,,,,,257
Apex Laboratory,,American medical lab,healthcare,5,13,unknown,,,unknown,1,2021,JAN,USA,,,,unknown,,,,seems more like a data breach or cyber attack? it might have involved ransomware,,https://www.infosecurity-magazine.com/news/cyberattack-on-us-laboratory/,,,,,256
UKRI,UK Research and Innovation,"UKRI is a public body of the Government of the United Kingdom, tasked with investing in science and research. It operates across the country with a budget of more than £6 billion, funded by the Department for Business, Energy and Industrial Strategy.",government,25,8300,unknown,,,unknown,1,2021,JAN,UK,,,,,,,,,,https://www.bleepingcomputer.com/news/security/uk-research-and-innovation-ukri-suffers-ransomware-attack/,,,,,255
ECMC,Eric County Medical Centre,,healthcare,10,750,0.044,0.044,,refused,4,2018,JAN,USA,,,,unknown,,,,,,https://www.healthdatamanagement.com/news/erie-county-medical-center-anatomy-of-a-ransomware-attack,,,,,254
Mat-Su,,Alaskan municipality,government,1,,1.4,1.4,cost,refused,4,2018,AUG,USA,,,,unknown,,,,,,https://statetechmagazine.com/article/2018/08/alaska-municipality-suffers-devastating-ransomware-attack,,,,,253
Leominster PSD,Leominster Public School District,,academic,5,98,0.01,0.01,,ransom paid,4,2018,MAY,USA,,,,unknown,,,,,,https://www.cyberscoop.com/leominster-ransomware-massachusetts-bitcoin/,,,,,252
Arran Brewery,,Scottish brewery,food & beverage,1,5,0.013,0.013,,refused,4,2018,SEP,Scotland,,,,unknown,,,,,,https://www.bbc.com/news/uk-scotland-scotland-business-45587903,,,,,251
Media Prima,,Malaysian media company,media & sports,5,15,8.7,8.7,,refused,4,2018,NOV,Malaysia,,,,unknown,,,,,,https://www.straitstimes.com/asia/se-asia/malaysian-media-group-hit-by-ransomware-attack-report,,,,,250
CDOT,Colorado Department of Transportation,,transport,1,,unknown,,,refused,4,2018,FEB,USA,,,,SamSam,,,,,,https://www.thedenverchannel.com/money/science-and-tech/ransomware-that-infected-colorado-transportation-employees-is-mutating-it-officials-say,,,,,249
Allscripts,,billion dollar EHR company,healthcare,10,1000,unknown,,,refused,4,2018,JAN,USA,,,,SamSam,,,,,,https://www.csoonline.com/article/3250246/allscripts-recovering-from-ransomware-attack-that-has-kept-key-tools-offline.html,,,,,248
Bristol Airport,,,transport,5,127,unknown,,,refused,4,2018,SEP,UK,,,,unknown,,,,,,https://www.infosecurity-magazine.com/news/bristol-airport-hit-by-ransomware/,,,,,247
Wyoming Area School District,,,academic,5,35,0.038,0.038,,ransom paid,3,2019,OCT,USA,,,,unknown,,,,,,https://www.wesa.fm/education/2019-10-01/pennsylvania-school-district-paid-38k-to-end-ransomware-attack,,,,,246
Arizona Beverages,,one of US' largest beverage suppliers,food & beverage,5,317,unknown,,,unknown,3,2019,APR,USA,,,,iEncrypt,,,,,,https://techcrunch.com/2019/04/02/arizona-beverages-ransomware/,,,,,245
