0,1,2,3,4
35235,"Begusarai,",Kerala,,
35237,"Sasaram,",Meghalaya,,
35239,"Alwar,",Jharkhand,,
35240,"Bijapur,",Punjab,31.00521,75.26956
35242,"Latur,",Odisha,,
35245,"Kanpur,",Tripura,,
35247,"Hajipur,",Sikkim,,
35248,"Jorhat,",Karnataka,,
35249,"Khandwa,",Goa,,
35250,"Dhule,",Punjab,,
35251,"Dhanbad,",Punjab,23.812849,86.459571
35252,"Ramagundam,",Karnataka,,
35253,"Farrukhabad,",Nagaland,,
35254,"Bettiah,",Gujarat,,
35257,"Tezpur,",Uttarakhand,,
35259,"Bokaro,",Odisha,,
35260,"Bharatpur,",Chhattisgarh,23.733923,81.777272
35262,"Akola,",Meghalaya,,
35263,"Ramgarh,",Telangana,,
35264,"Jorhat,",Manipur,,
35266,"Berhampore,",Mizoram,,
35267,"Bhatpara,",Chhattisgarh,21.729897,81.959572
35268,"Thoothukudi,",Maharashtra,,
35269,"Bellary,",Odisha,,
35270,"Medininagar,",Kerala,,
35273,"Kharagpur,",Haryana,,
35274,"Narasaraopet,",Assam,,
35276,"Hubli–Dharwad,",Rajasthan,,
35277,"Ludhiana,",Punjab,30.909016,75.851601
35279,"Medininagar,",Telangana,,
35280,"Karaikudi,",Uttarakhand,,
35281,"Tirupati,",Chhattisgarh,,
35282,"Tiruchirappalli,",Mizoram,,
35283,"Burhanpur,",Mizoram,,
35284,"Guntakal,",Punjab,,
35285,"Hubli–Dharwad,",Nagaland,,
35286,"Imphal,",Assam,24.795362,93.940457
35287,"Amroha,",Odisha,,
35290,"Yamunanagar,",Bihar,,
35291,"Hubli–Dharwad,",Meghalaya,,
35292,"Varanasi,",Manipur,,
35293,"Varanasi,",Karnataka,13.030496,77.686066
35295,"Bhopal,",Haryana,,
35298,"Chandrapur,",Jharkhand,,
35300,"Secunderabad,",Rajasthan,,
35301,"Udaipur,",Meghalaya,,
35303,"Srinagar,",Kerala,10.523428,76.199527
35304,"Sikar,",Bihar,25.964083,87.84462
35305,"Madhyamgram,",Bihar,,
35306,"Jabalpur,",Chhattisgarh,22.659188,81.925529
35309,"Tiruppur,",Punjab,,
35310,"Panipat,",Mizoram,,
35311,"Lucknow,",Goa,,
35315,"Sonipat,",Telangana,,
35318,"Suryapet,",Chhattisgarh,,
35319,"Raiganj,",Karnataka,,
35321,"Thanjavur,",Manipur,,
35322,"Parbhani,",Punjab,,
35324,"Bongaigaon,",Rajasthan,,
35325,"Mathura,",Goa,,
35326,"Rampur,",Rajasthan,25.28599,76.711864
35327,"Nagaon,",Punjab,26.233076,92.517923
35328,"Visakhapatnam,",Odisha,18.80148,82.834129
35333,"Bhagalpur,",Karnataka,,
35334,"Bhusawal,",Nagaland,,
35335,"Etawah,",Odisha,,
35337,"Jabalpur,",Rajasthan,24.564142,76.700685
35338,"Udupi,",Uttarakhand,,
35339,"Tenali,",Karnataka,,
35340,"Ambarnath,",Maharashtra,19.143557,73.297041
35341,"Kota,",Nagaland,,
35342,"Sasaram,",Telangana,,
35343,"Patiala,",Mizoram,,
35344,"Raiganj,",Odisha,,
35345,"Ghaziabad,",Tripura,,
35346,"Mahbubnagar,",Meghalaya,,
35347,"Dehradun,",Punjab,30.327253,78.046487
35348,"Aurangabad,",Gujarat,,
35349,"Rohtak,",Sikkim,,
35350,"Hospet,",Gujarat,,
35351,"Ajmer,",Maharashtra,20.933195,77.745209
35352,"Sonipat,",Kerala,,
35353,"Ambattur,",Goa,,
35354,"Chennai,",Rajasthan,13.089509,80.281418
35357,"Patiala,",Telangana,,
35359,"Meerut,",Sikkim,,
35361,"Hospet,",Punjab,15.276683,76.387506
35362,"Kozhikode,",Nagaland,,
35364,"Ludhiana,",Telangana,,
35366,"Gopalpur,",Bihar,25.309464,87.207873
35367,"Anantapuram,",Mizoram,,
35368,"Dhanbad,",Bihar,,
35369,"Kozhikode,",Goa,,
35370,"Madurai,",Manipur,,
35371,"Saharanpur,",Odisha,,
35373,"Aizawl,",Bihar,,
35374,"Tiruchirappalli,",Meghalaya,,
35375,"Raiganj,",Meghalaya,,
35376,"Bharatpur,",Telangana,,
35378,"Secunderabad,",Meghalaya,,
35379,"Burhanpur,",Maharashtra,,
35380,"Dehri,",Assam,,
35381,"Uluberia,",Bihar,,
35383,"Bidar,",Goa,,
35386,"Ludhiana,",Rajasthan,25.125394,75.854761
35387,"Kolhapur,",Telangana,,
35388,"Ujjain,",Punjab,,
35389,"Silchar,",Rajasthan,,
35390,"Jamshedpur,",Nagaland,,
35391,"Ongole,",Nagaland,,
35392,"Bhavnagar,",Uttarakhand,,
35393,"Coimbatore,",Uttarakhand,,
35394,"Allahabad,",Jharkhand,22.792834,86.185177
35396,"Hapur,",Goa,,
35398,"Kakinada,",Gujarat,,
35401,"Bikaner,",Sikkim,,
35402,"Kadapa,",Goa,,
35403,"Bangalore,",Kerala,12.508418,75.057837
35404,"Jodhpur,",Haryana,28.111979,77.302294
35405,"Thrissur,",Maharashtra,10.532611,76.220081
35406,"Durg,",Sikkim,,
35407,"Srikakulam,",Karnataka,,
35408,"Munger,",Gujarat,,
35409,"Kavali,",Jharkhand,,
35410,"Ulhasnagar,",Telangana,,
35411,"Jamnagar,",Haryana,29.765702,74.491031
35412,"Bhilai,",Goa,,
35413,"Kalyan-Dombivli,",Jharkhand,,
35414,"Kavali,",Karnataka,,
35417,"Farrukhabad,",Uttarakhand,,
35418,"Bathinda,",Goa,,
35419,"Durgapur,",Manipur,,
35420,"Satara,",Telangana,17.419367,78.448219
35421,"Bharatpur,",Gujarat,,
35422,"Saharsa,",Mizoram,,
35425,"Ghaziabad,",Jharkhand,,
35426,"Hyderabad,",Nagaland,,
35427,"Chandigarh,",Assam,,
35428,"Jalna,",Manipur,,
35429,"Ahmednagar,",Chhattisgarh,,
35430,"Davanagere,",Rajasthan,,
35431,"Kakinada,",Kerala,,
35432,"Chittoor,",Kerala,10.033641,76.274049
35435,"Imphal,",Telangana,,
35436,"Rajkot,",Goa,,
35437,"Durgapur,",Chhattisgarh,23.291107,83.696767
35439,"Kozhikode,",Haryana,,
35440,"Sikar,",Tripura,,
35441,"Tezpur,",Karnataka,,
35442,"Serampore,",Kerala,,
35443,"Kurnool,",Rajasthan,,
35445,"Hajipur,",Assam,,
35446,"Jamshedpur,",Punjab,,
35449,"Kota,",Nagaland,,
35450,"Berhampur,",Telangana,,
35451,"Serampore,",Odisha,,
35452,"Buxar,",Rajasthan,,
35453,"Sikar,",Sikkim,,
35454,"Rohtak,",Tripura,,
35455,"Varanasi,",Gujarat,,
35457,"Agra,",Karnataka,13.038673,77.646809
35459,"Mysore,",Punjab,12.313593,76.614811
35460,"Bardhaman,",Tripura,,
35461,"Hapur,",Tripura,,
35462,"Nellore,",Chhattisgarh,,
35463,"Satara,",Tripura,,
35465,"Bijapur,",Manipur,,
35466,"Kadapa,",Punjab,,
35467,"Kakinada,",Karnataka,,
35469,"Kanpur,",Goa,,
35471,"Bidhannagar,",Uttarakhand,,
35472,"Tiruvottiyur,",Maharashtra,,
35473,"Bareilly,",Bihar,,
35474,"Madhyamgram,",Chhattisgarh,,
35475,"Secunderabad,",Uttarakhand,,
35476,"Kota,",Assam,4.834475,100.730112
35477,"Kanpur,",Nagaland,,
35479,"Guntur,",Tripura,16.234256,80.044072
35483,"Noida,",Nagaland,,
35484,"Moradabad,",Goa,,
35485,"Karimnagar,",Manipur,,
35487,"Rourkela,",Mizoram,,
35488,"Morena,",Kerala,,
35490,"Bangalore,",Chhattisgarh,21.213261,81.657736
35492,"Vasai-Virar,",Gujarat,,
35493,"Dehri,",Manipur,,
35494,"Udaipur,",Punjab,30.253332,76.531546
35495,"Ajmer,",Goa,,
35496,"Vadodara,",Kerala,,
35498,"Kharagpur,",Goa,,
35499,"Gopalpur,",Odisha,19.265705,84.865115
35500,"Thoothukudi,",Chhattisgarh,,
35501,"Ramagundam,",Odisha,,
35502,"Tirupati,",Uttarakhand,,
35503,"Machilipatnam,",Punjab,,
35504,"Ballia,",Tripura,,
35505,"Bhiwandi,",Assam,,
35506,"Secunderabad,",Bihar,,
35507,"Bhatpara,",Goa,,
35510,"Jaunpur,",Bihar,,
35511,"Alappuzha,",Telangana,,
35512,"Salem,",Tripura,,
35513,"Khammam,",Nagaland,,
35514,"Bhagalpur,",Kerala,,
35516,"Asansol,",Rajasthan,,
35517,"Mumbai,",Kerala,9.307992,76.533942
35518,"Deoghar,",Rajasthan,,
35519,"Amaravati,",Gujarat,,
35520,"Kozhikode,",Gujarat,11.166785,75.842796
35521,"Kakinada,",Nagaland,,
35524,"Siwan,",Haryana,29.914715,76.315523
35526,"Katni,",Gujarat,,
35527,"Bangalore,",Nagaland,13.055913,77.557687
35528,"Phagwara,",Kerala,,
35531,"Bangalore,",Nagaland,13.055913,77.557687
35532,"Mehsana,",Karnataka,,
35533,"Saharanpur,",Odisha,,
35535,"Dhanbad,",Sikkim,,
35537,"Latur,",Nagaland,,
35540,"Dhule,",Bihar,,
35541,"Vellore,",Goa,,
35542,"Aizawl,",Jharkhand,,
35544,"Jaipur,",Telangana,18.846453,79.585646
35546,"Ghaziabad,",Chhattisgarh,,
35547,"Bidhannagar,",Telangana,,
35548,"Mira-Bhayandar,",Goa,,
35549,"Rampur,",Haryana,29.586383,75.549168
35550,"Hospet,",Rajasthan,,
35551,"Tenali,",Goa,,
35554,"Hapur,",Assam,,
35555,"Pondicherry,",Chhattisgarh,,
35557,"Udaipur,",Telangana,,
35561,"Aurangabad,",Assam,,
35562,"Motihari,",Chhattisgarh,,
35563,"Thiruvananthapuram,",Maharashtra,,
35564,"Chandigarh,",Karnataka,,
35565,"Nagaon,",Odisha,21.305428,83.457513
35566,"Nandyal,",Karnataka,17.352077,76.843024
35568,"Uluberia,",Manipur,,
35569,"Dewas,",Nagaland,,
35570,"Orai,",Haryana,,
35571,"Sonipat,",Tripura,,
35575,"Kharagpur,",Karnataka,,
35578,"Guntur,",Uttarakhand,,
35579,"Gopalpur,",Tripura,,
35580,"Pallavaram,",Chhattisgarh,,
35582,"Purnia,",Karnataka,,
35584,"Rourkela,",Karnataka,,
35585,"Bhilai,",Kerala,11.053242,76.109662
35586,"Bhagalpur,",Odisha,,
35588,"Phusro,",Haryana,,
35589,"Kavali,",Haryana,,
35590,"Maheshtala,",Telangana,,
35592,"Gaya,",Bihar,24.796436,85.007956
35593,"Guwahati,",Goa,,
35594,"Bellary,",Odisha,,
35595,"Kadapa,",Kerala,14.472807,78.822527
35596,"Ahmednagar,",Karnataka,,
35598,"Hosur,",Meghalaya,,
35599,"Bulandshahr,",Uttarakhand,,
35600,"Nadiad,",Odisha,,
35601,"Asansol,",Jharkhand,24.229742,87.274758
35602,"Thanjavur,",Rajasthan,,
35603,"Ajmer,",Jharkhand,,
35604,"Bongaigaon,",Goa,,
35606,"Kakinada,",Jharkhand,,
35607,"Rewa,",Telangana,,
35608,"Mehsana,",Goa,,
35609,"Tadipatri,",Haryana,,
35610,"Alappuzha,",Tripura,,
35611,"Pune,",Haryana,,
35612,"Allahabad,",Karnataka,12.940021,77.565169
35613,"Siwan,",Haryana,29.914715,76.315523
35615,"Ambarnath,",Meghalaya,,
35617,"Jehanabad,",Haryana,,
35618,"Loni,",Odisha,,
35619,"Barasat,",Manipur,,
35620,"Udaipur,",Tripura,23.541616,91.491759
35621,"Munger,",Punjab,,
35622,"Visakhapatnam,",Uttarakhand,,
35623,"Indore,",Jharkhand,,
35624,"Dharmavaram,",Maharashtra,,
35625,"Kulti,",Maharashtra,,
35628,"Mau,",Uttarakhand,29.882774,79.918713
35629,"Jehanabad,",Gujarat,,
35631,"Satara,",Telangana,17.419367,78.448219
35633,"Bhiwani,",Punjab,32.185708,74.027526
35635,"Panvel,",Meghalaya,,
35636,"Mysore,",Bihar,,
35637,"Cuttack,",Mizoram,,
35643,"Faridabad,",Meghalaya,,
35644,"Berhampore,",Manipur,,
35650,"Ratlam,",Maharashtra,,
35652,"Bokaro,",Telangana,,
35653,"Begusarai,",Gujarat,,
35656,"Raipur,",Mizoram,,
35657,"Guna,",Kerala,,
35658,"Warangal,",Nagaland,,
35659,"Thoothukudi,",Chhattisgarh,,
35660,"Pondicherry,",Nagaland,,
35661,"Dewas,",Haryana,28.240862,76.183241
35662,"Varanasi,",Jharkhand,,
35663,"Dharmavaram,",Mizoram,,
35664,"Bidar,",Rajasthan,26.917531,78.102488
35665,"Vadodara,",Tripura,,
35667,"Chennai,",Bihar,,
35668,"Rohtak,",Rajasthan,29.908723,74.175256
35670,"Kakinada,",Rajasthan,,
35671,"Solapur,",Chhattisgarh,,
35673,"Gwalior,",Assam,,
35674,"Haridwar,",Kerala,,
35676,"Ramgarh,",Rajasthan,27.584973,76.813086
35677,"Rampur,",Jharkhand,24.988985,87.503599
35678,"Arrah,",Mizoram,,
35684,"Hajipur,",Punjab,31.976702,75.753736
35685,"Bangalore,",Mizoram,,
35686,"Raiganj,",Rajasthan,,
35692,"Jalandhar,",Meghalaya,,
35693,"Jabalpur,",Sikkim,,
35694,"Chittoor,",Kerala,10.033641,76.274049
35695,"Hapur,",Chhattisgarh,,
35698,"Aurangabad,",Haryana,30.09984,77.235831
35699,"Amritsar,",Punjab,31.634308,74.873679
35700,"Siwan,",Punjab,29.95974,76.206416
35701,"Anantapuram,",Gujarat,,
35702,"Kochi,",Nagaland,,
35703,"Bulandshahr,",Chhattisgarh,,
35704,"Morbi,",Bihar,,
35705,"Thane,",Haryana,,
35706,"Ghaziabad,",Kerala,,
35708,"Rajkot,",Assam,,
35709,"Gudivada,",Kerala,16.543141,81.514877
35710,"Orai,",Goa,,
35711,"Kalyan-Dombivli,",Jharkhand,,
35712,"Tiruppur,",Mizoram,,
35714,"Guwahati,",Assam,26.180598,91.753943
35715,"Kota,",Mizoram,,
35717,"Panihati,",Sikkim,,
35718,"Sirsa,",Telangana,,
35719,"Tirupati,",Haryana,29.958438,76.833915
35721,"Bathinda,",Haryana,27.875802,76.117298
35722,"Baranagar,",Goa,,
35723,"Chandigarh,",Bihar,,
35724,"Madhyamgram,",Mizoram,,
35726,"Danapur,",Jharkhand,,
35727,"Mysore,",Nagaland,,
35728,"Katihar,",Goa,,
35730,"Shimoga,",Mizoram,,
35731,"Durg,",Chhattisgarh,21.18965,81.285108
35732,"Raiganj,",Nagaland,,
35733,"Unnao,",Rajasthan,,
35735,"Arrah,",Punjab,,
35736,"Mysore,",Karnataka,12.305183,76.655361
35738,"Bidhannagar,",Nagaland,22.563599,88.410477
35739,"Indore,",Uttarakhand,,
35740,"Patna,",Haryana,28.355542,76.932542
35741,"Alwar,",Manipur,,
35742,"Kakinada,",Maharashtra,,
35744,"Panipat,",Nagaland,,
35745,"Thiruvananthapuram,",Telangana,,
35747,"Deoghar,",Gujarat,,
35748,"Uluberia,",Meghalaya,,
35750,"Eluru,",Odisha,,
35752,"Bidar,",Sikkim,,
35753,"Hubli–Dharwad,",Rajasthan,,
35754,"Gwalior,",Gujarat,,
35755,"Bhiwani,",Haryana,28.79317,76.139128
35756,"Hospet,",Sikkim,,
35757,"Solapur,",Chhattisgarh,,
35759,"Alappuzha,",Telangana,,
35760,"Karnal,",Meghalaya,,
35761,"Anantapur,",Manipur,,
35763,"Anand,",Chhattisgarh,21.26358,81.63798
35764,"Vijayanagaram,",Sikkim,,
35765,"Jalna,",Punjab,,
35766,"Alwar,",Kerala,,
35768,"Mathura,",Goa,,
35769,"Bhatpara,",Gujarat,,
35770,"Bhiwani,",Gujarat,,
35773,"Vasai-Virar,",Assam,,
35775,"Loni,",Tripura,,
35776,"Shahjahanpur,",Punjab,31.161476,75.234675
35777,"Kumbakonam,",Haryana,,
35778,"Ambala,",Mizoram,,
35779,"Chittoor,",Goa,,
35780,"Dindigul,",Uttarakhand,,
35781,"Sagar,",Gujarat,23.012347,72.529956
35782,"Noida,",Chhattisgarh,,
35783,"Kharagpur,",Mizoram,,
35785,"Srinagar,",Jharkhand,23.366778,85.304639
35786,"Giridih,",Bihar,,
35787,"Tiruppur,",Rajasthan,,
35788,"Muzaffarpur,",Goa,,
35789,"Pali,",Mizoram,,
35791,"Naihati,",Gujarat,,
35793,"Ambarnath,",Chhattisgarh,,
35794,"Shimoga,",Karnataka,13.932609,75.574978
35796,"Thanjavur,",Kerala,,
35797,"Kalyan-Dombivli,",Rajasthan,,
35798,"Latur,",Assam,,
35801,"Rajkot,",Gujarat,22.305326,70.802838
35802,"Delhi,",Manipur,28.605185,77.187412
35803,"Begusarai,",Haryana,,
35805,"Unnao,",Gujarat,,
35806,"Kottayam,",Rajasthan,9.667963,76.554799
35807,"Giridih,",Mizoram,,
35809,"Hazaribagh,",Haryana,,
35810,"Aligarh,",Bihar,24.885573,67.055065
35811,"Amravati,",Punjab,20.929559,77.753698
35812,"Udaipur,",Rajasthan,24.578721,73.686257
35813,"Amroha,",Haryana,,
35814,"Aurangabad,",Rajasthan,,
35815,"Eluru,",Haryana,,
35816,"Deoghar,",Jharkhand,24.476642,86.606732
35819,"Tirupati,",Chhattisgarh,,
35820,"Patna,",Tripura,,
35821,"Kalyan-Dombivli,",Maharashtra,19.23916,73.129319
35822,"Loni,",Punjab,,
35823,"Kalyan-Dombivli,",Telangana,,
35824,"Kulti,",Sikkim,,
35825,"Madanapalle,",Meghalaya,,
35828,"Erode,",Goa,,
35830,"Maheshtala,",Meghalaya,,
35831,"Danapur,",Mizoram,,
35836,"Vasai-Virar,",Tripura,,
35838,"Gopalpur,",Karnataka,,
35840,"Sikar,",Assam,,
35841,"Bulandshahr,",Goa,,
35842,"Kalyan-Dombivli,",Manipur,,
35843,"Guna,",Tripura,,
35844,"Srinagar,",Punjab,34.071747,74.805012
35845,"Sikar,",Haryana,,
35846,"Kishanganj,",Kerala,,
35848,"Patna,",Nagaland,,
35849,"Ambarnath,",Goa,,
35850,"Bangalore,",Odisha,,
35851,"Madanapalle,",Punjab,,
35852,"Tadipatri,",Kerala,,
35854,"Gorakhpur,",Karnataka,,
35855,"Bhimavaram,",Tripura,,
35856,"Phagwara,",Mizoram,,
35857,"Jabalpur,",Punjab,,
35858,"Ahmedabad,",Bihar,,
35859,"Kharagpur,",Maharashtra,,
35860,"Kozhikode,",Jharkhand,,
35861,"Kollam,",Sikkim,,
35862,"Nashik,",Mizoram,,
35863,"Korba,",Maharashtra,19.015718,72.865542
35864,"Mango,",Nagaland,,
35866,"Dehri,",Telangana,,
35868,"Amravati,",Nagaland,,
35869,"Belgaum,",Haryana,,
35870,"Gudivada,",Mizoram,,
35871,"Uluberia,",Maharashtra,,
35872,"Sambalpur,",Rajasthan,25.127782,76.581445
35873,"Nandyal,",Mizoram,,
35875,"Machilipatnam,",Karnataka,17.69727,77.434914
35876,"Rohtak,",Uttarakhand,,
35878,"Mango,",Nagaland,,
35879,"Kakinada,",Odisha,,
35880,"Pune,",Rajasthan,,
35881,"Panipat,",Bihar,,
35882,"Thane,",Manipur,,
35883,"Guntur,",Uttarakhand,,
35884,"Raebareli,",Haryana,,
35885,"Junagadh,",Chhattisgarh,,
35886,"Kumbakonam,",Rajasthan,,
35887,"Bhopal,",Karnataka,,
35888,"Hajipur,",Rajasthan,27.687214,76.894169
35889,"Aurangabad,",Uttarakhand,,
35891,"Kavali,",Punjab,,
35893,"Haldia,",Rajasthan,,
35894,"Bidar,",Bihar,,
35895,"Singrauli,",Mizoram,,
35896,"Gwalior,",Kerala,,
35898,"Tiruppur,",Jharkhand,,
35899,"Kamarhati,",Uttarakhand,,
35900,"Haridwar,",Gujarat,21.527224,70.452993
35901,"Kalyan-Dombivli,",Rajasthan,,
35902,"Nellore,",Maharashtra,,
35903,"Gurgaon,",Meghalaya,,
35904,"Unnao,",Haryana,,
35905,"Vellore,",Goa,,
35906,"Orai,",Bihar,,
35907,"Warangal,",Meghalaya,,
35908,"Hubli–Dharwad,",Goa,,
35910,"Ambala,",Tripura,,
35912,"Jamnagar,",Chhattisgarh,,
35913,"Rohtak,",Bihar,,
35914,"Bangalore,",Karnataka,12.976794,77.590082
35919,"Deoghar,",Manipur,,
35920,"Gandhidham,",Assam,,
35921,"Haridwar,",Telangana,,
35923,"Thanjavur,",Jharkhand,,
35924,"Proddatur,",Tripura,,
35927,"Bhilai,",Assam,,
35928,"Adoni,",Rajasthan,,
35929,"Ratlam,",Assam,,
35930,"Bhavnagar,",Telangana,,
35931,"Tiruvottiyur,",Mizoram,,
35932,"Visakhapatnam,",Maharashtra,,
35935,"Siwan,",Odisha,,
35936,"Avadi,",Telangana,,
35939,"Ahmedabad,",Bihar,,
35940,"Thiruvananthapuram,",Goa,,
