66.140.197.69, Longitud: 24.3868333, Latitud: 120.6785751
171.205.133.26, Longitud: 23.0084219, Latitud: -82.474317
46.181.178.59, Longitud: 59.755862, Latitud: 5.487319
211.242.131.222, Longitud: 15.9198172, Latitud: 120.4145811
63.16.203.183, Longitud: 26.1910195, Latitud: 50.5478676
70.188.143.99, Longitud: 21.0348658, Latitud: 105.742967
109.200.206.184, Longitud: 26.1901559, Latitud: 50.5453511
22.255.232.252, Longitud: -7.5811823, Latitud: 110.90431
59.108.218.115, Longitud: 36.2047665, Latitud: 44.0205375
35.138.167.82, Longitud: 33.350437, Latitud: -97.181342
78.16.41.153, Longitud: 37.5953182, Latitud: 126.7976367
168.174.94.79, Longitud: 40.9847138, Latitud: -72.2277113
103.197.217.109, Longitud: 26.2539507, Latitud: 50.6623618
20.179.22.62, Longitud: 12.4027712, Latitud: -1.5602658
143.146.27.88, Longitud: 43.9925222, Latitud: -92.3942754
193.88.202.120, Longitud: 55.5173679, Latitud: 21.6194057
165.228.11.118, Longitud: 14.7166251, Latitud: 121.003274
79.2.247.214, Longitud: 54.6264836, Latitud: 24.9500598
111.233.126.136, Longitud: 24.9641428, Latitud: 121.5172018
176.176.154.62, Longitud: 35.5922918, Latitud: 45.4121411
109.89.28.116, Longitud: 25.0123425, Latitud: 121.622324
9.11.148.194, Longitud: 48.749041, Latitud: 10.0405767
116.80.40.141, Longitud: 35.5780212, Latitud: 45.4402888
42.143.199.175, Longitud: 58.4629551, Latitud: 8.6873089
44.228.100.84, Longitud: 9.1463175, Latitud: 99.5030202
222.182.46.189, Longitud: 25.0268441, Latitud: 121.550952
201.71.40.205, Longitud: 51.9992522, Latitud: 15.357332
201.81.169.20, Longitud: 49.1413699, Latitud: 13.5159685
70.44.178.62, Longitud: 47.9084071, Latitud: -53.0729517
2.121.58.128, Longitud: 13.0018197, Latitud: 100.0595111
213.78.133.164, Longitud: 21.0066203, Latitud: 105.8135929
41.16.232.69, Longitud: 36.1599913, Latitud: 44.0264312
34.76.62.59, Longitud: 61.3184305, Latitud: 12.1743114
216.25.206.147, Longitud: 36.1612355, Latitud: 43.9873425
94.206.60.22, Longitud: 37.4676674, Latitud: 127.0458795
201.155.148.62, Longitud: 36.1644933, Latitud: 44.0050703
207.108.250.105, Longitud: 36.1687616, Latitud: 43.9834664
102.40.108.204, Longitud: 26.1790135, Latitud: 50.6186282
146.217.119.46, Longitud: 33.3479886, Latitud: 44.3883651
27.59.168.179, Longitud: 36.826035, Latitud: 54.434207
113.53.61.239, Longitud: 35.5736273, Latitud: 45.4009321
123.9.173.1, Longitud: 33.3375727, Latitud: 44.4059482
92.217.96.28, Longitud: 34.9317636, Latitud: 135.1844233
198.79.2.160, Longitud: 10.8416804, Latitud: 106.6626095
43.231.227.218, Longitud: 32.6295822, Latitud: 130.8883641
219.59.203.205, Longitud: 26.2645351, Latitud: 50.6166763
139.193.119.18, Longitud: 65.9419147, Latitud: 12.470747
144.179.65.53, Longitud: 55.2012923, Latitud: 24.0655619
197.107.175.182, Longitud: 25.1066041, Latitud: 121.5337452
179.39.168.191, Longitud: 10.7690945, Latitud: 106.6291431
94.197.50.150, Longitud: 51.0614016, Latitud: 17.0999773
59.207.52.196, Longitud: 40.9878833, Latitud: 27.5505099
203.113.93.191, Longitud: 26.2267376, Latitud: 50.5776798
156.49.54.18, Longitud: 35.5912854, Latitud: 45.4068383
134.130.200.49, Longitud: 64.1323089, Latitud: -21.8935018
194.253.116.238, Longitud: 25.068247, Latitud: 121.4885169
26.193.137.26, Longitud: 33.3506223, Latitud: 44.4011392
51.77.246.229, Longitud: 38.2275075, Latitud: 34.4348292
91.0.20.146, Longitud: 10.8411646, Latitud: 106.6630144
213.79.202.56, Longitud: 33.901932, Latitud: -98.4445378
90.209.248.50, Longitud: 36.796174, Latitud: -93.494873
39.35.164.157, Longitud: 55.8064417, Latitud: 21.8997567
121.21.109.188, Longitud: 33.3336893, Latitud: 44.4107031
55.126.212.188, Longitud: 48.9351338, Latitud: 5.0338882
217.204.156.115, Longitud: 26.2484695, Latitud: 50.6571517
202.95.64.183, Longitud: 36.844934, Latitud: -99.6293905
89.93.182.106, Longitud: 25.0274799, Latitud: 121.5480283
88.195.104.196, Longitud: 25.0386794, Latitud: 121.5059513
36.229.253.197, Longitud: -21.3485066, Latitud: -48.0670007
47.148.0.4, Longitud: 13.4632376, Latitud: 44.0107815
28.108.3.212, Longitud: 60.1123909, Latitud: 19.9808197
212.79.29.26, Longitud: 40.514017, Latitud: 40.01263
91.206.196.156, Longitud: 41.94754, Latitud: -74.91197
142.132.22.152, Longitud: 63.0, Latitud: 22.316667
171.157.54.22, Longitud: 29.6288533, Latitud: 52.584264
32.231.83.183, Longitud: 53.1585154, Latitud: 15.400320875619894
157.162.234.99, Longitud: 35.5598697, Latitud: 45.4833521
137.63.202.186, Longitud: 33.3516922, Latitud: 44.4024602
74.27.54.7, Longitud: 39.1800386, Latitud: -108.0361603
52.88.124.84, Longitud: 33.8860773, Latitud: 35.5077758
46.42.221.216, Longitud: 50.82338, Latitud: 19.0884002
19.124.226.30, Longitud: 33.3063792, Latitud: 44.4044071
35.32.159.144, Longitud: 38.1659, Latitud: 28.0131417
221.15.12.14, Longitud: 47.0840431, Latitud: -55.1461909
21.115.137.206, Longitud: 35.318648, Latitud: 136.689085
57.4.138.128, Longitud: 34.4485736, Latitud: -106.715191
204.196.151.38, Longitud: 33.8886567, Latitud: 133.0301883
76.9.50.36, Longitud: 45.8746821, Latitud: 13.5096339
95.109.2.208, Longitud: 46.2569085, Latitud: -89.000087
162.220.223.68, Longitud: 36.2133579, Latitud: 44.0380383
48.200.249.159, Longitud: 54.4420234, Latitud: 23.0002629
36.167.149.65, Longitud: 55.8564651, Latitud: 23.9810179
42.138.205.110, Longitud: 36.1740131, Latitud: 43.9850847
222.188.57.244, Longitud: 25.0277119, Latitud: 121.5389586
88.144.246.89, Longitud: 47.9239076, Latitud: 3.847117
198.233.26.195, Longitud: 25.0310178, Latitud: 121.5311821
41.162.200.193, Longitud: 50.0528196, Latitud: 13.1430958
175.2.213.2, Longitud: 33.3011039, Latitud: 44.3692857
99.26.168.63, Longitud: 21.7396079, Latitud: -82.7619233
33.242.59.249, Longitud: 45.0929989, Latitud: -0.3965968
116.19.190.147, Longitud: 35.5781114, Latitud: 45.4343595
174.99.220.110, Longitud: 24.948739, Latitud: 121.4815931
90.49.141.111, Longitud: 26.1854262, Latitud: 50.5442726
172.67.247.90, Longitud: 35.6012135, Latitud: 45.4087897
42.3.42.67, Longitud: 29.5792347, Latitud: 52.6174278
89.115.159.192, Longitud: 47.4216549, Latitud: 3.9153146
146.180.59.4, Longitud: 46.8116834, Latitud: -122.1794824
190.104.34.29, Longitud: 33.3334191, Latitud: 44.4033104
109.236.46.139, Longitud: 26.1855105, Latitud: 50.5440558
13.138.79.0, Longitud: 49.233918599999996, Latitud: 7.009954715740743
40.221.199.144, Longitud: 64.0738494, Latitud: -21.9395168
166.211.39.34, Longitud: 41.1021689, Latitud: 28.8580323
214.73.159.154, Longitud: 36.2030288, Latitud: 43.9994514
25.53.213.93, Longitud: 45.4514279, Latitud: 9.116668253456934
142.235.169.69, Longitud: 39.1028443, Latitud: -94.5784041
57.246.223.86, Longitud: 43.0818429, Latitud: 13.8052656
66.12.66.222, Longitud: 30.3261984, Latitud: 31.769732
103.193.82.129, Longitud: 31.3911713, Latitud: -83.2317835
51.174.90.124, Longitud: 10.7697094, Latitud: 106.6794255
212.91.119.110, Longitud: 26.2487989, Latitud: 50.6557747
222.238.255.140, Longitud: 25.0443435, Latitud: 121.5771284
168.26.179.24, Longitud: 20.9803395, Latitud: 105.8175304
68.156.165.243, Longitud: 25.3641481, Latitud: 51.476951
169.147.218.47, Longitud: 35.5727952, Latitud: 45.4608881
37.192.10.71, Longitud: 34.3263076, Latitud: 133.8481956
82.167.59.194, Longitud: 66.7115269, Latitud: 26.8306513
212.74.91.130, Longitud: 60.2074214, Latitud: 19.660077
144.236.225.13, Longitud: 29.5349869, Latitud: 52.6229407
62.14.95.116, Longitud: 36.034285, Latitud: 14.249019
74.137.22.7, Longitud: 29.5783484, Latitud: 52.5532509
157.212.64.87, Longitud: 57.8628788, Latitud: 26.9964479
43.62.176.12, Longitud: 22.9769984, Latitud: -82.380878
182.105.90.19, Longitud: 43.871263, Latitud: -121.1020562
57.216.237.22, Longitud: -7.6190844, Latitud: 110.8205119
201.61.193.62, Longitud: 36.1581331, Latitud: 44.0112443
220.245.72.144, Longitud: 25.0008585, Latitud: 121.4646522
197.187.12.66, Longitud: 24.245031, Latitud: 120.5414775
52.18.178.0, Longitud: 43.5867727, Latitud: 11.807968
98.75.202.81, Longitud: 40.8168136, Latitud: 16.6841477
194.150.130.235, Longitud: 25.068247, Latitud: 121.4885169
131.116.25.177, Longitud: 49.2403906, Latitud: 6.9851629
15.48.170.85, Longitud: 37.5478372, Latitud: 126.8702628
56.194.142.96, Longitud: 35.5813766, Latitud: 45.4024148
5.181.146.157, Longitud: 35.438537, Latitud: 133.3271838
38.6.163.203, Longitud: 26.1862861, Latitud: 50.5443723
167.110.96.25, Longitud: 34.5902424, Latitud: 50.8566215
27.55.193.76, Longitud: 36.1687103, Latitud: 128.5505242
73.185.124.43, Longitud: 35.5808105, Latitud: 45.4216818
56.112.211.137, Longitud: 47.9710975, Latitud: -3.2756692
124.215.108.35, Longitud: 48.09138385, Latitud: -1.6362339219421953
198.197.238.234, Longitud: -26.8819862, Latitud: -52.0216268
185.131.137.210, Longitud: 26.1932538, Latitud: 50.54387
93.208.25.168, Longitud: 10.7662149, Latitud: 106.6500749
39.250.131.113, Longitud: 33.7883061, Latitud: 133.7390621
153.174.202.206, Longitud: 52.9184198, Latitud: 16.4523815
93.81.180.110, Longitud: 24.9619379, Latitud: 121.5391895
33.140.150.139, Longitud: 35.8390204, Latitud: 14.4637115
96.83.98.235, Longitud: -0.1727806, Latitud: -76.64996267179549
222.101.36.85, Longitud: 33.316275, Latitud: 44.4253235
205.62.151.205, Longitud: 35.56201, Latitud: 45.4405375
107.54.119.209, Longitud: 35.5683332, Latitud: 45.4143507
40.79.93.76, Longitud: 39.0721189, Latitud: 33.8999237
196.130.77.223, Longitud: 25.0573077, Latitud: 121.5960375
124.48.155.33, Longitud: 35.5809886, Latitud: 45.4223129
31.183.153.107, Longitud: 35.114136, Latitud: 133.200335
60.64.53.195, Longitud: 38.4251225, Latitud: 28.9425898
183.112.159.225, Longitud: 26.185331, Latitud: 50.5465111
57.205.45.238, Longitud: 36.1739403, Latitud: 43.9903318
58.201.90.47, Longitud: 26.2455035, Latitud: 127.6952257
27.116.135.194, Longitud: 34.8887981, Latitud: 135.4462413
152.78.161.41, Longitud: 64.1126743, Latitud: -21.8435199
149.228.220.208, Longitud: 26.1852289, Latitud: 50.5451301
217.231.195.238, Longitud: 25.0602001, Latitud: 121.548797
50.34.110.28, Longitud: 33.3391948, Latitud: 44.3918556
150.92.1.199, Longitud: -25.9587453, Latitud: 32.570016
219.28.115.127, Longitud: 34.8241773, Latitud: 134.6929967
107.37.235.252, Longitud: 25.0344695, Latitud: 121.5560138
201.143.29.73, Longitud: 36.1659851, Latitud: 43.9989766
20.197.219.198, Longitud: 36.2158516, Latitud: 44.0234668
131.6.134.217, Longitud: 33.3481728, Latitud: 44.3914287
94.172.214.147, Longitud: 55.0826165, Latitud: 22.6080783
83.61.216.221, Longitud: 34.738697, Latitud: 10.5132636
33.199.142.141, Longitud: 34.988186, Latitud: 133.4571064
187.131.26.243, Longitud: 25.020575, Latitud: 121.4231547
150.45.82.33, Longitud: 35.5869986, Latitud: 45.4036453
105.140.39.37, Longitud: 34.2723384, Latitud: 133.9746888
88.2.65.102, Longitud: 29.6303091, Latitud: 52.5947904
37.145.201.19, Longitud: 35.5551513, Latitud: 45.438596
155.214.161.32, Longitud: 49.2086308, Latitud: -124.456742
12.42.155.129, Longitud: 54.5427296, Latitud: 24.1576736
131.212.80.24, Longitud: 29.5775396, Latitud: 52.6388595
60.170.7.204, Longitud: 32.463269, Latitud: 35.3036986
75.143.92.78, Longitud: 21.0458683, Latitud: 105.7588097
23.189.92.21, Longitud: -25.301694949999998, Latitud: -57.61675163278362
24.11.66.75, Longitud: 29.5607945, Latitud: 52.6143613
39.97.159.3, Longitud: 33.5399847, Latitud: -5.1033181
19.114.129.50, Longitud: 33.3473859, Latitud: 44.3978897
164.9.139.209, Longitud: 35.5951462, Latitud: 45.4164109
46.91.192.80, Longitud: 50.3565195, Latitud: 1.7670895
110.119.232.93, Longitud: 26.180251, Latitud: 50.6167208
17.185.137.142, Longitud: -27.3844362, Latitud: -55.9445213
105.139.241.198, Longitud: 25.032755, Latitud: 121.5305543
14.31.77.126, Longitud: 47.1046748, Latitud: 37.5540483
65.13.33.138, Longitud: 49.6682595, Latitud: -103.1129179
41.122.7.140, Longitud: 54.9534761, Latitud: 23.0576763
76.17.107.69, Longitud: 36.1947098, Latitud: 44.0123297
27.212.164.180, Longitud: 47.8618084, Latitud: -123.005258
125.54.228.97, Longitud: 35.5705726, Latitud: 45.3793589
136.53.250.105, Longitud: 34.5026463, Latitud: -84.9529602
202.237.107.21, Longitud: 35.5654804, Latitud: 45.4159047
149.129.59.94, Longitud: 46.8453786, Latitud: 29.6748249
45.183.82.174, Longitud: 44.6571678, Latitud: 9.2296719
141.182.139.129, Longitud: -27.3743483, Latitud: -55.9440921
149.203.149.215, Longitud: 26.1852289, Latitud: 50.5451301
160.179.239.66, Longitud: 24.894959, Latitud: 121.265684
107.113.172.251, Longitud: 25.1038959, Latitud: 121.4529225
138.28.61.199, Longitud: 39.352974, Latitud: -83.374914
215.97.13.208, Longitud: 48.3959504, Latitud: -119.5453884
119.135.122.94, Longitud: 26.1233626, Latitud: 50.5649672
64.20.59.123, Longitud: 23.2655622, Latitud: 120.9552683
88.200.74.166, Longitud: 48.2179708, Latitud: 6.2199162
149.254.78.132, Longitud: 54.0757133, Latitud: 12.094193
129.181.247.187, Longitud: 25.134088, Latitud: 121.4619159
214.224.126.33, Longitud: 35.5766172, Latitud: 45.404195
67.23.112.113, Longitud: 40.9220663, Latitud: -72.8925363
129.129.164.18, Longitud: 35.5943425, Latitud: 45.4133091
46.228.139.235, Longitud: 64.0091922, Latitud: -22.5665372
84.67.235.170, Longitud: 23.1665211, Latitud: 120.3278151
203.244.72.18, Longitud: 26.2294714, Latitud: 50.5728178
211.76.164.253, Longitud: 26.2487989, Latitud: 50.6557747
44.85.194.57, Longitud: 33.203843, Latitud: 131.6043948
128.243.31.212, Longitud: 60.2065865, Latitud: 19.6251645
112.45.167.83, Longitud: 35.5758571, Latitud: 45.4386227
195.159.89.223, Longitud: 25.0187848, Latitud: 121.5531788
219.51.58.193, Longitud: 36.2154943, Latitud: 44.024287
132.80.50.56, Longitud: 60.2463541, Latitud: 25.1444109
155.201.213.18, Longitud: 60.167574349999995, Latitud: 24.92551536592346
111.131.130.31, Longitud: 35.5854133, Latitud: 45.393028
102.236.145.45, Longitud: 33.6250009, Latitud: -117.9331124
185.141.230.65, Longitud: 62.1355153, Latitud: -6.8469872
42.112.140.133, Longitud: 58.509195, Latitud: 8.8437482
73.52.40.0, Longitud: 37.3384664, Latitud: 42.1282419
192.185.77.186, Longitud: 14.526054, Latitud: 121.0111023
176.252.254.21, Longitud: 23.1699731, Latitud: -82.2671318
119.94.206.88, Longitud: 35.5598789, Latitud: 45.4489754
33.217.84.228, Longitud: 44.6958176, Latitud: -0.1616541
27.30.222.167, Longitud: 37.0051702, Latitud: 37.7873749
13.139.98.15, Longitud: 62.7372534, Latitud: 7.1617202
58.87.157.48, Longitud: 35.017506, Latitud: 128.7245106
19.27.118.138, Longitud: 40.5257279, Latitud: 34.9536552
32.178.5.168, Longitud: 10.7659229, Latitud: 106.6503102
202.174.4.155, Longitud: 10.7834744, Latitud: 106.6302328
16.27.25.47, Longitud: 48.755623, Latitud: 10.0706818
186.250.206.71, Longitud: 46.1842097, Latitud: 4.7305409
125.146.15.213, Longitud: 50.9146948, Latitud: -102.3780669
68.83.15.120, Longitud: 38.9991038, Latitud: 33.8537919
103.71.75.41, Longitud: 35.5621975, Latitud: 45.4190987
72.253.216.54, Longitud: 70.2166279, Latitud: 21.7245589
222.194.233.17, Longitud: 36.1634356, Latitud: 44.0213761
118.117.87.216, Longitud: 35.9326146, Latitud: 14.3472955
152.60.173.81, Longitud: 35.5892532, Latitud: 45.3917341
218.110.119.240, Longitud: 26.24825, Latitud: 50.6551214
34.175.149.183, Longitud: 60.797164, Latitud: 11.0726296
154.190.150.58, Longitud: 35.5870116, Latitud: 45.4013153
35.159.152.93, Longitud: 34.006388, Latitud: 131.992743
171.163.213.85, Longitud: 46.5484846, Latitud: -1.138221
44.57.36.114, Longitud: 33.1716971, Latitud: 131.6247413
166.72.131.105, Longitud: 25.0619257, Latitud: 121.5632683
113.240.12.72, Longitud: 40.7803607, Latitud: 15.1293791
193.98.226.61, Longitud: 66.3781251, Latitud: 23.6941943
210.38.170.76, Longitud: 35.5643168, Latitud: 45.4530355
55.210.233.232, Longitud: 36.1622736, Latitud: 44.0205962
24.25.74.29, Longitud: 39.695021, Latitud: 39.6820671
170.191.55.52, Longitud: 14.5514777, Latitud: 120.9977944
109.73.143.132, Longitud: 26.2301707, Latitud: 50.5783451
36.43.154.163, Longitud: 33.8761591, Latitud: 133.7676004
138.247.106.123, Longitud: 36.1975688, Latitud: 44.0016063
88.77.249.227, Longitud: 25.0296095, Latitud: 121.4305389
148.82.135.177, Longitud: 33.8147869, Latitud: -98.1984219
95.69.151.46, Longitud: 59.9961006, Latitud: 5.0947581
22.21.27.93, Longitud: 34.6572655, Latitud: 50.8357424
41.234.73.190, Longitud: 63.9744118, Latitud: -22.3574088
49.147.4.184, Longitud: 37.600277, Latitud: -93.007881
106.127.123.231, Longitud: 36.1982386, Latitud: 44.0008052
78.27.193.178, Longitud: 41.086321, Latitud: 32.9269781
54.48.132.204, Longitud: 26.2301707, Latitud: 50.5783451
18.185.180.230, Longitud: 35.9803544, Latitud: 136.1599883
88.9.114.239, Longitud: 48.2466479, Latitud: 5.9849059
210.244.96.187, Longitud: 50.7949259, Latitud: -103.8829354
87.96.122.142, Longitud: 29.562146, Latitud: 52.6582336
1.221.215.253, Longitud: 26.2496296, Latitud: 50.6565677
93.17.151.200, Longitud: 55.7449609, Latitud: 12.5562822
56.30.18.158, Longitud: 30.3069786, Latitud: 31.7615203
185.71.9.98, Longitud: 48.777405, Latitud: 10.0688609
23.25.191.133, Longitud: 29.5599508, Latitud: 52.6151421
11.216.117.234, Longitud: 35.7605566, Latitud: 139.5465834
15.19.101.19, Longitud: 29.7753651, Latitud: 52.4463482
118.65.76.79, Longitud: 35.5790756, Latitud: 45.4263593
196.242.215.57, Longitud: 25.0809856, Latitud: 121.4883302
20.251.75.75, Longitud: 35.7471046, Latitud: 137.8808222
204.159.198.120, Longitud: 26.1909902, Latitud: 50.5379775
165.164.250.129, Longitud: -5.1063767, Latitud: -42.7615814
41.204.220.152, Longitud: 33.2887034, Latitud: 129.8342932
49.112.200.243, Longitud: 64.1241281, Latitud: -21.8196656
140.166.109.46, Longitud: 54.4554424, Latitud: -118.0309457
46.99.22.61, Longitud: 61.9703647, Latitud: 5.5106141
85.253.206.147, Longitud: 36.1612355, Latitud: 43.9873425
91.190.12.115, Longitud: 27.0711808, Latitud: -82.32093621396413
24.42.88.57, Longitud: 12.855339350000001, Latitud: 102.60881446635895
68.196.126.42, Longitud: 58.2915093, Latitud: 7.9926911
173.28.33.128, Longitud: 49.7510821, Latitud: 21.2907035
39.130.38.82, Longitud: -11.8842091, Latitud: -77.0182045
121.61.189.53, Longitud: 35.5828973, Latitud: 45.384711
140.114.225.53, Longitud: 36.1896138, Latitud: 44.0317855
93.120.33.122, Longitud: 35.5811201, Latitud: 45.4329335
221.30.18.120, Longitud: 49.0274609, Latitud: 10.188725
192.60.60.85, Longitud: 50.0079528, Latitud: -119.3975036
35.99.47.35, Longitud: 49.348104, Latitud: -102.9931629
15.80.27.218, Longitud: 12.3302644, Latitud: -1.5248957
71.177.145.42, Longitud: 58.8769444, Latitud: 9.0170211
147.247.15.185, Longitud: 62.5558961, Latitud: 6.6243994
53.140.222.137, Longitud: 37.6743589, Latitud: 126.9190113
8.218.60.36, Longitud: 47.5069506, Latitud: -53.2131189
112.193.107.98, Longitud: 25.0815518, Latitud: 121.4598495
117.52.126.83, Longitud: 35.575721, Latitud: 45.3958558
5.170.226.155, Longitud: 32.3374659, Latitud: -95.2917298
72.176.34.200, Longitud: 41.0192135, Latitud: 14.5564424
193.161.101.104, Longitud: 25.0672035, Latitud: 121.5326983
202.119.54.246, Longitud: 26.1840288, Latitud: 50.5420685
7.40.247.218, Longitud: 35.7054123, Latitud: 51.4879576
79.165.189.159, Longitud: 47.0558723, Latitud: -0.2657487
32.253.221.235, Longitud: 43.6251893, Latitud: 0.9218408
36.235.111.197, Longitud: 25.1069304, Latitud: 121.5331912
163.52.250.121, Longitud: 38.3901759, Latitud: 27.09709
50.100.200.217, Longitud: 34.077145, Latitud: -94.735508
181.98.162.59, Longitud: 54.2701316, Latitud: 23.7665686
52.248.0.62, Longitud: 43.5867727, Latitud: 11.807968
87.186.213.0, Longitud: 9.9116119, Latitud: -84.078794
93.250.27.19, Longitud: -21.915578099999998, Latitud: -60.105708594963986
112.111.245.119, Longitud: 26.1268534, Latitud: 50.5455241
25.64.71.28, Longitud: 34.9885947, Latitud: 135.91478477033735
135.111.118.149, Longitud: 42.03862855, Latitud: -71.21270187806124
137.57.178.0, Longitud: 55.0385464, Latitud: -1.7110522
45.194.119.136, Longitud: 26.1232993, Latitud: 50.5647347
221.10.247.198, Longitud: 25.032755, Latitud: 121.5305543
64.89.210.223, Longitud: 26.2624035, Latitud: 50.6178933
125.69.223.103, Longitud: 35.570476, Latitud: 45.3787505
12.9.12.77, Longitud: 39.3025004, Latitud: 40.3472585
98.70.30.25, Longitud: 37.4135914, Latitud: 44.0950474
95.63.229.166, Longitud: 36.1649375, Latitud: 44.0294751
101.91.234.236, Longitud: 33.3161911, Latitud: 44.4230189
165.184.208.115, Longitud: 26.2496178, Latitud: 50.6562585
17.18.167.29, Longitud: 55.9464182, Latitud: -2.8147198828375504
37.87.90.230, Longitud: 61.7944832, Latitud: -6.7483451
117.86.186.122, Longitud: 35.5763841, Latitud: 45.3990245
167.115.143.25, Longitud: 10.788348, Latitud: 106.5881319
39.137.145.22, Longitud: 54.7171314, Latitud: 23.2222746
193.20.201.59, Longitud: 36.1656961, Latitud: 44.0106107
199.28.37.150, Longitud: 40.982816, Latitud: -84.399285
185.185.116.51, Longitud: 35.5793433, Latitud: 45.4355312
222.101.67.149, Longitud: 29.7966204, Latitud: 52.4142421
4.129.183.139, Longitud: 29.5625142, Latitud: 52.6262729
50.177.189.94, Longitud: 62.0638734, Latitud: -6.9301939
29.212.67.153, Longitud: 62.3844057, Latitud: 21.2531481
218.134.20.162, Longitud: 10.7262177, Latitud: 106.6211118
62.160.223.84, Longitud: 56.0768805, Latitud: 12.1914396
112.121.249.182, Longitud: 25.0817873, Latitud: 121.4562435
169.122.148.68, Longitud: 56.018912, Latitud: 21.652255
220.238.80.21, Longitud: 47.6167069, Latitud: -53.5100938
145.159.246.27, Longitud: 48.6577993, Latitud: 51.7563408
103.205.139.135, Longitud: 40.9766177, Latitud: -72.2709674
101.90.95.8, Longitud: 34.7121869, Latitud: 135.2467557
131.155.151.149, Longitud: 41.5021786, Latitud: -72.4524144
144.104.18.232, Longitud: 33.33102, Latitud: 44.4049276
134.26.109.123, Longitud: 36.1819177, Latitud: 44.0126766
199.195.120.21, Longitud: 35.5800098, Latitud: 45.4312967
31.198.215.53, Longitud: 36.2342192, Latitud: 36.2069527
196.104.128.196, Longitud: 12.922630999999999, Latitud: 80.24950594014084
195.213.19.37, Longitud: 34.3226149, Latitud: 133.8547088
149.127.5.33, Longitud: 35.6999783, Latitud: 51.4862285
55.127.164.111, Longitud: 26.1880552, Latitud: 50.5437499
154.28.134.99, Longitud: 35.5872569, Latitud: 45.407717
205.105.70.47, Longitud: 26.6266952, Latitud: 128.1785881
12.8.161.165, Longitud: -28.0223432, Latitud: 153.2686793
57.51.31.205, Longitud: 41.3464078, Latitud: 34.8792724
179.52.0.111, Longitud: 26.1879728, Latitud: 50.5476375
158.43.18.59, Longitud: -47.7380315, Latitud: -65.9029809
146.88.240.52, Longitud: 37.4442558, Latitud: -88.3290443
76.220.58.160, Longitud: 37.6661529, Latitud: 126.8046507
30.214.106.158, Longitud: 59.9406801, Latitud: 10.9929176
6.72.225.227, Longitud: 37.2171349, Latitud: -119.484186
150.127.231.114, Longitud: 25.0243087, Latitud: 121.4907044
173.3.25.174, Longitud: 10.7688577, Latitud: 106.6796297
159.120.221.58, Longitud: 59.9493181, Latitud: 11.044430236782215
201.203.217.59, Longitud: 40.9820399, Latitud: -72.220808
160.114.45.156, Longitud: 59.306483, Latitud: 18.0139528
117.206.179.254, Longitud: 26.2279861, Latitud: 50.5770479
85.237.59.129, Longitud: 33.3465315, Latitud: 44.3948072
146.58.207.73, Longitud: 36.165784, Latitud: 43.9821291
179.70.27.165, Longitud: 62.2732524, Latitud: 25.9004372
78.39.227.119, Longitud: 26.2248523, Latitud: 50.5738847
52.255.214.227, Longitud: 18.25144595, Latitud: 99.47640238973322
26.208.41.154, Longitud: -17.9773303, Latitud: -70.2368106
